path,size_bytes,size_mb,role,lightweight_baseline_recommendation
data/cache/hotpotqa_text_embedding_v4_full_dev.jsonl,1251383269,1193.412,embedding_cache,register_path_only
data/cache/hotpotqa_text_embedding_v4_1800.jsonl,438059501,417.766,embedding_cache,register_path_only
data/retrieval/hotpotqa_global_hardneg_retrieval_full_dev.jsonl,65371504,62.343,retrieval_records,register_path_only
data/raw/hotpotqa/hotpot_dev_fullwiki_v1.json,47454698,45.256,raw_dataset,register_path_only
data/processed/hotpotqa_global_hardneg_splits_full_dev/train.jsonl,45779502,43.659,processed_splits,register_path_only
data/retrieval/hotpotqa_dev_sufficiency_1800.jsonl,15613920,14.891,retrieval_records,register_path_only
data/processed/hotpotqa_dev_splits_1800/train.jsonl,10893980,10.389,processed_splits,register_path_only
data/processed/hotpotqa_global_hardneg_splits_full_dev/valid.jsonl,9856464,9.4,processed_splits,register_path_or_manifest_only
data/processed/hotpotqa_global_hardneg_splits_full_dev/test.jsonl,9735538,9.285,processed_splits,register_path_or_manifest_only
data/retrieval/hotpotqa_embedding_retrieval_1800.jsonl,7439370,7.095,retrieval_records,register_path_or_manifest_only
data/retrieval/hotpotqa_global_embedding_retrieval_1800.jsonl,7310209,6.972,retrieval_records,register_path_or_manifest_only
data/processed/hotpotqa_embedding_splits_1800/train.jsonl,5203848,4.963,processed_splits,register_path_or_manifest_only
data/processed/hotpotqa_global_embedding_splits_1800/train.jsonl,5080723,4.845,processed_splits,register_path_or_manifest_only
data/retrieval/hotpotqa_dev_sufficiency_500_clean.jsonl,3653987,3.485,retrieval_records,register_path_or_manifest_only
data/retrieval/hotpotqa_dev_sufficiency_500.jsonl,3291867,3.139,retrieval_records,register_path_or_manifest_only
data/features/hotpotqa_dev_train_1800_features.jsonl,2985639,2.847,features,register_path_or_manifest_only
data/processed/hotpotqa_dev_splits_1800/valid.jsonl,2367389,2.258,processed_splits,register_path_or_manifest_only
data/processed/hotpotqa_dev_splits_1800/test.jsonl,2352551,2.244,processed_splits,register_path_or_manifest_only
data/features/hotpotqa_global_embedding_1800/train_features.jsonl,1792912,1.71,features,eligible_small_artifact
data/features/hotpotqa_embedding_1800/train_features.jsonl,1782333,1.7,features,eligible_small_artifact
data/processed/hotpotqa_embedding_splits_1800/valid.jsonl,1129523,1.077,processed_splits,eligible_small_artifact
data/processed/hotpotqa_global_embedding_splits_1800/valid.jsonl,1125871,1.074,processed_splits,eligible_small_artifact
data/processed/hotpotqa_embedding_splits_1800/test.jsonl,1105999,1.055,processed_splits,eligible_small_artifact
data/processed/hotpotqa_global_embedding_splits_1800/test.jsonl,1103615,1.052,processed_splits,eligible_small_artifact
data/features/hotpotqa_dev_valid_1800_features.jsonl,639355,0.61,features,eligible_small_artifact
data/features/hotpotqa_dev_test_1800_features.jsonl,638592,0.609,features,eligible_small_artifact
