method_name,policy,split,metric,point,ci_low,ci_high,bootstrap_iters
top1_embedding_threshold,balanced,retrieval_test,coverage,0.9888888888888889,0.9740740740740741,1.0,1000
top1_embedding_threshold,balanced,retrieval_test,selective_accuracy,0.8052434456928839,0.7556390977443609,0.8496381402945566,1000
top1_embedding_threshold,balanced,retrieval_test,insufficient_answer_rate,0.9811320754716981,0.9354663394109396,1.0,1000
top1_embedding_threshold,balanced,retrieval_test,sufficient_abstain_rate,0.009216589861751152,0.0,0.023699503498081694,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,coverage,0.8888888888888888,0.8518518518518519,0.9222222222222223,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,selective_accuracy,0.85,0.8059041217700597,0.8940677966101694,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.6792452830188679,0.55,0.803921568627451,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.059907834101382486,0.029122695933586604,0.0926033591731266,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,coverage,0.9185185185185185,0.8850925925925927,0.9481481481481482,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,selective_accuracy,0.8467741935483871,0.8,0.892444624793009,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.7169811320754716,0.5909090909090909,0.8334090909090909,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.03225806451612903,0.013513513513513514,0.05505221324990487,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,coverage,0.9592592592592593,0.937037037037037,0.9814814814814815,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,selective_accuracy,0.833976833976834,0.7846078431372548,0.8783269961977186,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.8113207547169812,0.7142857142857143,0.90741452991453,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.004608294930875576,0.0,0.014218009478672985,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,coverage,0.7888888888888889,0.7407407407407407,0.8333333333333334,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,selective_accuracy,0.9014084507042254,0.8623774122113256,0.9380952380952381,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,insufficient_answer_rate,0.39622641509433965,0.26225944404846757,0.5294417767106843,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,sufficient_abstain_rate,0.1152073732718894,0.07582253817798842,0.1598313517704833,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,coverage,0.8592592592592593,0.8185185185185185,0.9,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,selective_accuracy,0.8793103448275862,0.8355555555555556,0.9217391304347826,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,insufficient_answer_rate,0.5283018867924528,0.39622641509433965,0.6666666666666666,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,sufficient_abstain_rate,0.059907834101382486,0.03181458247634718,0.091324200913242,1000
top1_embedding_threshold,balanced,qa100_rescore,coverage,1.0,1.0,1.0,1000
top1_embedding_threshold,balanced,qa100_rescore,answered_f1,0.7093189033189033,0.6318481962481963,0.7878589466089465,1000
top1_embedding_threshold,balanced,qa100_rescore,insufficient_answer_rate,1.0,1.0,1.0,1000
logistic_regression/embedding_score_only/isotonic,balanced,qa100_rescore,coverage,0.93,0.88,0.97,1000
logistic_regression/embedding_score_only/isotonic,balanced,qa100_rescore,answered_f1,0.7284953994631415,0.6520050894604773,0.8095792939796299,1000
logistic_regression/embedding_score_only/isotonic,balanced,qa100_rescore,insufficient_answer_rate,0.7692307692307693,0.5256578947368421,1.0,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,qa100_rescore,coverage,0.91,0.85,0.96,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,qa100_rescore,answered_f1,0.7172002600574028,0.6408422163260873,0.7983266191702456,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,qa100_rescore,insufficient_answer_rate,0.7692307692307693,0.5,1.0,1000
logistic_regression/v3_all/isotonic,balanced,qa100_rescore,coverage,0.99,0.97,1.0,1000
logistic_regression/v3_all/isotonic,balanced,qa100_rescore,answered_f1,0.7164837407261649,0.6419386141355838,0.7903969711545469,1000
logistic_regression/v3_all/isotonic,balanced,qa100_rescore,insufficient_answer_rate,0.9230769230769231,0.75,1.0,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,qa100_rescore,coverage,0.83,0.75,0.9,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,qa100_rescore,answered_f1,0.746167353396269,0.6693774636173844,0.8217855285364835,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,qa100_rescore,insufficient_answer_rate,0.46153846153846156,0.16666666666666666,0.75,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,qa100_rescore,coverage,0.88,0.82,0.94,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,qa100_rescore,answered_f1,0.754735668372032,0.6783895990225374,0.8359409479789097,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,qa100_rescore,insufficient_answer_rate,0.6153846153846154,0.3333333333333333,0.8888888888888888,1000
