method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.45,40,0.8553169289626988,0.610443213107752,0.8187114163985741,0.5292726313035738,0.8666666666666667,0.9333333333333333,0.873015873015873,0.6956521739130435,0.017857142857142856,0.30434782608695654,0.9821428571428571,16,2,7,126,0.8333333333333334,0.9185185185185185,0.8467741935483871,0.7169811320754716,0.03225806451612903,0.2830188679245283,0.967741935483871,38,7,15,248
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.4,40,0.8553169289626988,0.610443213107752,0.8187114163985741,0.5292726313035738,0.8592592592592593,0.8962962962962963,0.8842975206611571,0.6086956521739131,0.044642857142857144,0.391304347826087,0.9553571428571429,14,5,9,121,0.825925925925926,0.9037037037037037,0.8483606557377049,0.6981132075471698,0.04608294930875576,0.3018867924528302,0.9539170506912442,37,10,16,244
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,balanced,0.8,68,0.8709677419354838,0.671186880112917,0.859490479088775,0.6105226699657917,0.8740740740740741,0.9407407407407408,0.8740157480314961,0.6956521739130435,0.008928571428571428,0.30434782608695654,0.9910714285714286,16,1,7,127,0.837037037037037,0.9592592592592593,0.833976833976834,0.8113207547169812,0.004608294930875576,0.18867924528301888,0.9953917050691244,43,1,10,259
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,risk_control@suff_abstain15,0.3,68,0.8709677419354838,0.671186880112917,0.859490479088775,0.6105226699657917,0.8444444444444444,0.7777777777777778,0.9333333333333333,0.30434782608695654,0.125,0.6956521739130435,0.875,7,14,16,105,0.8296296296296296,0.7888888888888889,0.9014084507042254,0.39622641509433965,0.1152073732718894,0.6037735849056604,0.8847926267281107,21,25,32,213
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,balanced,0.7,56,0.8620989479175725,0.6694050409321367,0.8490131292931049,0.5885941741289769,0.8740740740740741,0.9407407407407408,0.8740157480314961,0.6956521739130435,0.008928571428571428,0.30434782608695654,0.9910714285714286,16,1,7,127,0.837037037037037,0.9444444444444444,0.8392156862745098,0.7735849056603774,0.013824884792626729,0.22641509433962265,0.9861751152073732,41,3,12,255
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,risk_control@suff_abstain15,0.35,56,0.8620989479175725,0.6694050409321367,0.8490131292931049,0.5885941741289769,0.8296296296296296,0.8074074074074075,0.908256880733945,0.43478260869565216,0.11607142857142858,0.5652173913043478,0.8839285714285714,10,13,13,109,0.837037037037037,0.7814814814814814,0.909952606635071,0.3584905660377358,0.1152073732718894,0.6415094339622641,0.8847926267281107,19,25,34,211
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,balanced,0.9,22,0.7897574123989218,0.514786735220659,0.7633249282671072,0.43083399886634166,0.8518518518518519,0.9481481481481482,0.859375,0.782608695652174,0.017857142857142856,0.21739130434782608,0.9821428571428571,18,2,5,128,0.825925925925926,0.9333333333333333,0.8373015873015873,0.7735849056603774,0.027649769585253458,0.22641509433962265,0.9723502304147466,41,6,12,252
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,risk_control@suff_abstain15,0.35,22,0.7897574123989218,0.514786735220659,0.7633249282671072,0.43083399886634166,0.8,0.8666666666666667,0.8632478632478633,0.6956521739130435,0.09821428571428571,0.30434782608695654,0.9017857142857143,16,11,7,117,0.8222222222222222,0.8851851851851852,0.8535564853556485,0.660377358490566,0.059907834101382486,0.33962264150943394,0.9400921658986175,35,13,18,239
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,balanced,0.55,30,0.8226241196417703,0.5937072867096473,0.8112772802365011,0.49726305427191353,0.8740740740740741,0.9259259259259259,0.88,0.6521739130434783,0.017857142857142856,0.34782608695652173,0.9821428571428571,15,2,8,125,0.8185185185185185,0.8888888888888888,0.85,0.6792452830188679,0.059907834101382486,0.32075471698113206,0.9400921658986175,36,13,17,240
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,risk_control@suff_abstain15,0.35,30,0.8226241196417703,0.5937072867096473,0.8112772802365011,0.49726305427191353,0.8740740740740741,0.9111111111111111,0.8861788617886179,0.6086956521739131,0.026785714285714284,0.391304347826087,0.9732142857142857,14,3,9,123,0.825925925925926,0.8814814814814815,0.8571428571428571,0.6415094339622641,0.059907834101382486,0.3584905660377358,0.9400921658986175,34,13,19,238
logistic_regression/embedding_score_only/isotonic,model,logistic_regression,embedding_score_only,isotonic,balanced,0.4,5,0.7980175636901139,0.48738148128642017,0.7602817146335102,0.4319512605415583,0.8592592592592593,0.8962962962962963,0.8842975206611571,0.6086956521739131,0.044642857142857144,0.391304347826087,0.9553571428571429,14,5,9,121,0.8222222222222222,0.9074074074074074,0.8448979591836735,0.7169811320754716,0.04608294930875576,0.2830188679245283,0.9539170506912442,38,10,15,245
logistic_regression/embedding_score_only/isotonic,model,logistic_regression,embedding_score_only,isotonic,risk_control@suff_abstain15,0.2,5,0.7980175636901139,0.48738148128642017,0.7602817146335102,0.4319512605415583,0.8592592592592593,0.7777777777777778,0.9428571428571428,0.2608695652173913,0.11607142857142858,0.7391304347826086,0.8839285714285714,6,13,17,105,0.7925925925925926,0.774074074074074,0.8851674641148325,0.4528301886792453,0.14746543778801843,0.5471698113207547,0.8525345622119815,24,32,29,209
