method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,balanced,0.55,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.8666666666666667,0.9333333333333333,0.873015873015873,0.6956521739130435,0.017857142857142856,0.30434782608695654,0.9821428571428571,16,2,7,126,0.825925925925926,0.9037037037037037,0.8483606557377049,0.6981132075471698,0.04608294930875576,0.3018867924528302,0.9539170506912442,37,10,16,244
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,reliable@cov85,0.45,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.8666666666666667,0.8740740740740741,0.8983050847457628,0.5217391304347826,0.05357142857142857,0.4782608695652174,0.9464285714285714,12,6,11,118,0.825925925925926,0.8888888888888888,0.8541666666666666,0.660377358490566,0.055299539170506916,0.33962264150943394,0.9447004608294931,35,12,18,240
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,risk_control@suff_abstain15,0.25,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.8592592592592593,0.7777777777777778,0.9428571428571428,0.2608695652173913,0.11607142857142858,0.7391304347826086,0.8839285714285714,6,13,17,105,0.8333333333333334,0.7555555555555555,0.9215686274509803,0.3018867924528302,0.1336405529953917,0.6981132075471698,0.8663594470046083,16,29,37,204
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,high_precision@cov50,0.1,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.6666666666666666,0.5407407407407407,0.958904109589041,0.13043478260869565,0.375,0.8695652173913043,0.625,3,42,20,73,0.7,0.5555555555555556,0.9533333333333334,0.1320754716981132,0.34101382488479265,0.8679245283018868,0.6589861751152074,7,74,46,150
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,balanced,0.35,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.8666666666666667,0.9333333333333333,0.873015873015873,0.6956521739130435,0.017857142857142856,0.30434782608695654,0.9821428571428571,16,2,7,126,0.825925925925926,0.9037037037037037,0.8483606557377049,0.6981132075471698,0.04608294930875576,0.3018867924528302,0.9539170506912442,37,10,16,244
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,reliable@cov85,0.3,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.8592592592592593,0.8814814814814815,0.8907563025210085,0.5652173913043478,0.05357142857142857,0.43478260869565216,0.9464285714285714,13,6,10,119,0.825925925925926,0.8962962962962963,0.8512396694214877,0.6792452830188679,0.05069124423963134,0.32075471698113206,0.9493087557603687,36,11,17,242
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,risk_control@suff_abstain15,0.2,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.8518518518518519,0.7851851851851852,0.9339622641509434,0.30434782608695654,0.11607142857142858,0.6956521739130435,0.8839285714285714,7,13,16,106,0.825925925925926,0.7777777777777778,0.9047619047619048,0.37735849056603776,0.12442396313364056,0.6226415094339622,0.8755760368663594,20,27,33,210
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,high_precision@cov50,0.15,40,0.8553169289626988,0.610443213107752,0.8553169289626988,0.610443213107752,0.7555555555555555,0.6592592592592592,0.9438202247191011,0.21739130434782608,0.25,0.782608695652174,0.75,5,28,18,89,0.762962962962963,0.6555555555555556,0.9322033898305084,0.22641509433962265,0.23963133640552994,0.7735849056603774,0.7603686635944701,12,52,41,177
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.45,40,0.8553169289626988,0.610443213107752,0.8187114163985741,0.5292726313035738,0.8666666666666667,0.9333333333333333,0.873015873015873,0.6956521739130435,0.017857142857142856,0.30434782608695654,0.9821428571428571,16,2,7,126,0.8333333333333334,0.9185185185185185,0.8467741935483871,0.7169811320754716,0.03225806451612903,0.2830188679245283,0.967741935483871,38,7,15,248
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,reliable@cov85,0.4,40,0.8553169289626988,0.610443213107752,0.8187114163985741,0.5292726313035738,0.8592592592592593,0.8962962962962963,0.8842975206611571,0.6086956521739131,0.044642857142857144,0.391304347826087,0.9553571428571429,14,5,9,121,0.825925925925926,0.9037037037037037,0.8483606557377049,0.6981132075471698,0.04608294930875576,0.3018867924528302,0.9539170506912442,37,10,16,244
