estimator,calibration,policy,tau_answer,raw_test_brier,raw_test_ece,raw_test_auroc,raw_test_auprc,calibrated_test_brier,calibrated_test_ece,calibrated_test_auroc,calibrated_test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,valid_insufficient_precision,valid_insufficient_recall,valid_insufficient_f1,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count,test_insufficient_precision,test_insufficient_recall,test_insufficient_f1,test_meets_coverage85
logistic_regression,isotonic,balanced,0.5,0.11450690532773525,0.05337122927225933,0.8553169289626988,0.610443213107752,0.11571994558204513,0.06363202893746436,0.8462742370228676,0.5618297375738033,0.8703703703703703,0.9296296296296296,0.8764940239043825,0.6739130434782609,0.017857142857142856,0.32608695652173914,0.9821428571428571,31,4,15,251,0.7894736842105263,0.32608695652173914,0.46153846153846156,0.8333333333333334,0.9185185185185185,0.8467741935483871,0.7169811320754716,0.03225806451612903,0.2830188679245283,0.967741935483871,38,7,15,248,0.6818181818181818,0.2830188679245283,0.39999999999999997,True
logistic_regression,isotonic,reliable@cov85,0.4,0.11450690532773525,0.05337122927225933,0.8553169289626988,0.610443213107752,0.11571994558204513,0.06363202893746436,0.8462742370228676,0.5618297375738033,0.8666666666666667,0.8666666666666667,0.9017094017094017,0.5,0.05803571428571429,0.5,0.9419642857142857,23,13,23,234,0.6388888888888888,0.5,0.5609756097560975,0.8222222222222222,0.8851851851851852,0.8535564853556485,0.660377358490566,0.059907834101382486,0.33962264150943394,0.9400921658986175,35,13,18,239,0.5806451612903226,0.33962264150943394,0.42857142857142855,True
logistic_regression,isotonic,risk_control@suff_abstain15,0.3,0.11450690532773525,0.05337122927225933,0.8553169289626988,0.610443213107752,0.11571994558204513,0.06363202893746436,0.8462742370228676,0.5618297375738033,0.8444444444444444,0.7777777777777778,0.9333333333333333,0.30434782608695654,0.125,0.6956521739130435,0.875,14,28,32,210,0.5333333333333333,0.6956521739130435,0.6037735849056605,0.8296296296296296,0.7592592592592593,0.9170731707317074,0.32075471698113206,0.1336405529953917,0.6792452830188679,0.8663594470046083,17,29,36,205,0.5538461538461539,0.6792452830188679,0.6101694915254237,False
logistic_regression,isotonic,high_precision@cov50,0.05,0.11450690532773525,0.05337122927225933,0.8553169289626988,0.610443213107752,0.11571994558204513,0.06363202893746436,0.8462742370228676,0.5618297375738033,0.6518518518518519,0.5037037037037037,0.9779411764705882,0.06521739130434782,0.40625,0.9347826086956522,0.59375,3,91,43,136,0.3208955223880597,0.9347826086956522,0.47777777777777775,0.6592592592592592,0.5,0.9629629629629629,0.09433962264150944,0.4009216589861751,0.9056603773584906,0.5990783410138248,5,87,48,135,0.35555555555555557,0.9056603773584906,0.5106382978723405,False
random_forest,isotonic,balanced,0.4,0.11990056124242202,0.032300856756412345,0.8190592122424137,0.6010463366077594,0.12162612122745431,0.053902109821641335,0.8141031214676986,0.5585004714391155,0.8814814814814815,0.8962962962962963,0.8966942148760331,0.5434782608695652,0.03125,0.45652173913043476,0.96875,25,7,21,242,0.75,0.45652173913043476,0.5675675675675675,0.8407407407407408,0.9037037037037037,0.8565573770491803,0.660377358490566,0.03686635944700461,0.33962264150943394,0.9631336405529954,35,8,18,244,0.6923076923076923,0.33962264150943394,0.4556962025316456,True
random_forest,isotonic,reliable@cov85,0.4,0.11990056124242202,0.032300856756412345,0.8190592122424137,0.6010463366077594,0.12162612122745431,0.053902109821641335,0.8141031214676986,0.5585004714391155,0.8814814814814815,0.8962962962962963,0.8966942148760331,0.5434782608695652,0.03125,0.45652173913043476,0.96875,25,7,21,242,0.75,0.45652173913043476,0.5675675675675675,0.8407407407407408,0.9037037037037037,0.8565573770491803,0.660377358490566,0.03686635944700461,0.33962264150943394,0.9631336405529954,35,8,18,244,0.6923076923076923,0.33962264150943394,0.4556962025316456,True
random_forest,isotonic,risk_control@suff_abstain15,0.25,0.11990056124242202,0.032300856756412345,0.8190592122424137,0.6010463366077594,0.12162612122745431,0.053902109821641335,0.8141031214676986,0.5585004714391155,0.8555555555555555,0.7888888888888889,0.9342723004694836,0.30434782608695654,0.11160714285714286,0.6956521739130435,0.8883928571428571,14,25,32,213,0.5614035087719298,0.6956521739130435,0.6213592233009708,0.8074074074074075,0.774074074074074,0.8947368421052632,0.41509433962264153,0.1382488479262673,0.5849056603773585,0.8617511520737328,22,30,31,209,0.5081967213114754,0.5849056603773585,0.5438596491228069,False
random_forest,isotonic,high_precision@cov50,0.05,0.11990056124242202,0.032300856756412345,0.8190592122424137,0.6010463366077594,0.12162612122745431,0.053902109821641335,0.8141031214676986,0.5585004714391155,0.6777777777777778,0.5296296296296297,0.9790209790209791,0.06521739130434782,0.375,0.9347826086956522,0.625,3,84,43,143,0.33858267716535434,0.9347826086956522,0.49710982658959546,0.6666666666666666,0.5444444444444444,0.9319727891156463,0.18867924528301888,0.3686635944700461,0.8113207547169812,0.631336405529954,10,80,43,147,0.34959349593495936,0.8113207547169812,0.48863636363636365,False
gradient_boosting,isotonic,balanced,0.5,0.12157082410486095,0.04786068927163359,0.8358403617076775,0.5711109041309408,0.12492903143416503,0.06776173322758935,0.8179723502304148,0.5287472415781894,0.8629629629629629,0.9222222222222223,0.8755020080321285,0.6739130434782609,0.026785714285714284,0.32608695652173914,0.9732142857142857,31,6,15,249,0.7142857142857143,0.32608695652173914,0.4477611940298507,0.8481481481481481,0.9111111111111111,0.8577235772357723,0.660377358490566,0.027649769585253458,0.33962264150943394,0.9723502304147466,35,6,18,246,0.75,0.33962264150943394,0.4675324675324676,True
gradient_boosting,isotonic,reliable@cov85,0.4,0.12157082410486095,0.04786068927163359,0.8358403617076775,0.5711109041309408,0.12492903143416503,0.06776173322758935,0.8179723502304148,0.5287472415781894,0.8629629629629629,0.8851851851851852,0.891213389121339,0.5652173913043478,0.049107142857142856,0.43478260869565216,0.9508928571428571,26,11,20,239,0.6451612903225806,0.43478260869565216,0.5194805194805194,0.8444444444444444,0.8851851851851852,0.8661087866108786,0.6037735849056604,0.04608294930875576,0.39622641509433965,0.9539170506912442,32,10,21,239,0.6774193548387096,0.39622641509433965,0.5,True
