estimator,calibration,policy,tau_answer,n,coverage,answered_count,answered_em,answered_f1,answered_sufficient_rate,insufficient_answer_rate,sufficient_abstain_rate,abstained_insufficient_rate,false_answer_count,over_abstain_count,json_parse_failure_rate,format_failure_rate,qa_rescore_calls_llm
none,none,naive_always_answer,,100,1.0,100,0.56,0.7093189033189033,0.87,1.0,0.0,0.0,13,0,0.0,0.0,False
logistic_regression,isotonic,balanced,0.5,100,0.96,96,0.5729166666666666,0.7215127465127464,0.8854166666666666,0.8461538461538461,0.022988505747126436,0.15384615384615385,11,2,0.0,0.0,False
logistic_regression,isotonic,reliable@cov85,0.4,100,0.94,94,0.574468085106383,0.719133585091032,0.8936170212765957,0.7692307692307693,0.034482758620689655,0.23076923076923078,10,3,0.0,0.0,False
logistic_regression,isotonic,risk_control@suff_abstain15,0.3,100,0.81,81,0.5925925925925926,0.7604760123278642,0.9506172839506173,0.3076923076923077,0.11494252873563218,0.6923076923076923,4,10,0.0,0.0,False
logistic_regression,isotonic,high_precision@cov50,0.05,100,0.53,53,0.6037735849056604,0.7635383484440088,0.9622641509433962,0.15384615384615385,0.41379310344827586,0.8461538461538461,2,36,0.0,0.0,False
random_forest,isotonic,balanced,0.4,100,0.95,95,0.5789473684210527,0.7220900736690211,0.8842105263157894,0.8461538461538461,0.034482758620689655,0.15384615384615385,11,3,0.0,0.0,False
random_forest,isotonic,reliable@cov85,0.4,100,0.95,95,0.5789473684210527,0.7220900736690211,0.8842105263157894,0.8461538461538461,0.034482758620689655,0.15384615384615385,11,3,0.0,0.0,False
random_forest,isotonic,risk_control@suff_abstain15,0.25,100,0.83,83,0.5783132530120482,0.7341191606251847,0.9156626506024096,0.5384615384615384,0.12643678160919541,0.46153846153846156,7,11,0.0,0.0,False
random_forest,isotonic,high_precision@cov50,0.05,100,0.58,58,0.5862068965517241,0.75141065830721,0.9310344827586207,0.3076923076923077,0.3793103448275862,0.6923076923076923,4,33,0.0,0.0,False
gradient_boosting,isotonic,balanced,0.5,100,0.94,94,0.574468085106383,0.719133585091032,0.8936170212765957,0.7692307692307693,0.034482758620689655,0.23076923076923078,10,3,0.0,0.0,False
gradient_boosting,isotonic,reliable@cov85,0.4,100,0.91,91,0.5824175824175825,0.7318522747094176,0.9120879120879121,0.6153846153846154,0.04597701149425287,0.38461538461538464,8,4,0.0,0.0,False
gradient_boosting,isotonic,risk_control@suff_abstain15,0.35,100,0.84,84,0.6071428571428571,0.7558029272314987,0.9166666666666666,0.5384615384615384,0.11494252873563218,0.46153846153846156,7,10,0.0,0.0,False
gradient_boosting,isotonic,high_precision@cov50,0.05,100,0.66,66,0.5909090909090909,0.7454807818444182,0.9242424242424242,0.38461538461538464,0.2988505747126437,0.6153846153846154,5,26,0.0,0.0,False
