method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.35,40,0.8419245253789036,0.9103138584551879,0.834390710815865,0.8902844230562998,0.7963963963963964,0.14234234234234233,0.810126582278481,0.03816793893129771,0.6049382716049383,0.9618320610687023,0.3950617283950617,15,98,378,79,0.7670863309352518,0.13489208633093525,0.84,0.03195739014647137,0.6509695290858726,0.9680426098535286,0.3490304709141274,24,235,727,150
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.7,40,0.8419245253789036,0.9103138584551879,0.834390710815865,0.8902844230562998,0.7549549549549549,0.45765765765765765,0.5511811023622047,0.2900763358778626,0.13580246913580246,0.7099236641221374,0.8641975308641975,114,22,279,254,0.7329136690647482,0.4658273381294964,0.5617760617760618,0.3022636484687084,0.19390581717451524,0.6977363515312917,0.8060941828254847,227,70,524,518
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,balanced,0.45,68,0.885334789071635,0.9380748463857667,0.8827712634308456,0.9276248041090513,0.8252252252252252,0.3009009009009009,0.6946107784431138,0.1297709923664122,0.2839506172839506,0.8702290076335878,0.7160493827160493,51,46,342,167,0.822841726618705,0.26798561151079137,0.7751677852348994,0.08921438082556592,0.3601108033240997,0.9107856191744341,0.6398891966759003,67,130,684,298
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,risk_control@suff_abstain15,0.6,68,0.885334789071635,0.9380748463857667,0.8827712634308456,0.9276248041090513,0.8072072072072072,0.4018018018018018,0.6233183856502242,0.21374045801526717,0.1419753086419753,0.7862595419847328,0.8580246913580247,84,23,309,223,0.7877697841726619,0.4091726618705036,0.6373626373626373,0.2197070572569907,0.19667590027700832,0.7802929427430093,0.8033240997229917,165,71,586,455
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,balanced,0.4,56,0.8817384761223264,0.9364031940492026,0.8767257691499053,0.920347392587476,0.818018018018018,0.27927927927927926,0.6967741935483871,0.11959287531806616,0.3333333333333333,0.8804071246819338,0.6666666666666666,47,54,346,155,0.822841726618705,0.2607913669064748,0.7827586206896552,0.08388814913448735,0.37119113573407203,0.9161118508655126,0.628808864265928,63,134,688,290
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,risk_control@suff_abstain15,0.75,56,0.8817384761223264,0.9364031940492026,0.8767257691499053,0.920347392587476,0.7855855855855856,0.45225225225225224,0.5856573705179283,0.26463104325699743,0.09259259259259259,0.7353689567430025,0.9074074074074074,104,15,289,251,0.7589928057553957,0.4739208633093525,0.5882352941176471,0.28894806924101196,0.14127423822714683,0.711051930758988,0.8587257617728532,217,51,534,527
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,balanced,0.5,22,0.7964818838040507,0.8948636729093858,0.7908513487095692,0.8743259543855106,0.7693693693693694,0.1981981981981982,0.6545454545454545,0.09669211195928754,0.5555555555555556,0.9033078880407125,0.4444444444444444,38,90,355,110,0.7383093525179856,0.2068345323741007,0.6521739130434783,0.10652463382157124,0.5844875346260388,0.8934753661784287,0.4155124653739612,80,211,671,230
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,risk_control@suff_abstain15,0.7,22,0.7964818838040507,0.8948636729093858,0.7908513487095692,0.8743259543855106,0.6432432432432432,0.5801801801801801,0.4440993788819876,0.455470737913486,0.11728395061728394,0.544529262086514,0.8827160493827161,179,19,214,322,0.6447841726618705,0.5971223021582733,0.4743975903614458,0.4647137150466045,0.12742382271468145,0.5352862849533955,0.8725761772853186,349,46,402,664
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,balanced,0.5,30,0.8228622224845173,0.8989958830113296,0.8213093529956365,0.889761735335327,0.7981981981981981,0.25585585585585585,0.676056338028169,0.11704834605597965,0.4074074074074074,0.8829516539440203,0.5925925925925926,46,66,347,142,0.7805755395683454,0.24010791366906475,0.7191011235955056,0.09986684420772303,0.46814404432132967,0.9001331557922769,0.5318559556786704,75,169,676,267
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,risk_control@suff_abstain15,0.75,30,0.8228622224845173,0.8989958830113296,0.8213093529956365,0.889761735335327,0.7063063063063063,0.5063063063063064,0.498220640569395,0.35877862595419846,0.13580246913580246,0.6412213740458015,0.8641975308641975,141,22,252,281,0.6924460431654677,0.5314748201438849,0.5160744500846024,0.3808255659121172,0.15512465373961218,0.6191744340878829,0.8448753462603878,286,56,465,591
logistic_regression/embedding_score_only/isotonic,model,logistic_regression,embedding_score_only,isotonic,balanced,0.35,5,0.7795478604704346,0.8750466920718468,0.7749445798953196,0.8577691285605146,0.772972972972973,0.15855855855855855,0.7045454545454546,0.06615776081424936,0.6172839506172839,0.9338422391857506,0.38271604938271603,26,100,367,88,0.737410071942446,0.164568345323741,0.6885245901639344,0.0758988015978695,0.6509695290858726,0.9241011984021305,0.3490304709141274,57,235,694,183
logistic_regression/embedding_score_only/isotonic,model,logistic_regression,embedding_score_only,isotonic,risk_control@suff_abstain15,0.8,5,0.7795478604704346,0.8750466920718468,0.7749445798953196,0.8577691285605146,0.6774774774774774,0.527927927927928,0.4709897610921502,0.3944020356234097,0.14814814814814814,0.6055979643765903,0.8518518518518519,155,24,238,293,0.6609712230215827,0.552158273381295,0.48697068403908794,0.4194407456724368,0.17174515235457063,0.5805592543275633,0.8282548476454293,315,62,436,614
