method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,balanced,0.5,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.8108108108108109,0.22882882882882882,0.7244094488188977,0.089058524173028,0.43209876543209874,0.910941475826972,0.5679012345679012,35,70,358,127,0.7904676258992805,0.22122302158273383,0.7601626016260162,0.07856191744340879,0.481994459833795,0.9214380825565912,0.518005540166205,59,174,692,246
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,reliable@cov85,0.95,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.42702702702702705,0.8612612612612612,0.3368200836820084,0.806615776081425,0.006172839506172839,0.19338422391857507,0.9938271604938271,317,1,76,478,0.42805755395683454,0.8893884892086331,0.3609706774519717,0.8415446071904128,0.0110803324099723,0.1584553928095872,0.9889196675900277,632,4,119,989
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,risk_control@suff_abstain15,0.75,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.7549549549549549,0.45765765765765765,0.5511811023622047,0.2900763358778626,0.13580246913580246,0.7099236641221374,0.8641975308641975,114,22,279,254,0.7329136690647482,0.4658273381294964,0.5617760617760618,0.3022636484687084,0.19390581717451524,0.6977363515312917,0.8060941828254847,227,70,524,518
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,high_precision@cov50,0.8,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.7207207207207207,0.5027027027027027,0.5125448028673835,0.3460559796437659,0.11728395061728394,0.6539440203562341,0.8827160493827161,136,19,257,279,0.6969424460431655,0.5413669064748201,0.5199335548172758,0.3848202396804261,0.1329639889196676,0.6151797603195739,0.8670360110803325,289,48,462,602
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,balanced,0.55,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.8126126126126126,0.22702702702702704,0.7301587301587301,0.08651399491094147,0.43209876543209874,0.9134860050890585,0.5679012345679012,34,70,359,126,0.7904676258992805,0.22122302158273383,0.7601626016260162,0.07856191744340879,0.481994459833795,0.9214380825565912,0.518005540166205,59,174,692,246
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,reliable@cov85,0.9,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.33153153153153153,0.9603603603603603,0.30393996247654786,0.9440203562340967,0.0,0.05597964376590331,1.0,371,0,22,533,0.3516187050359712,0.9730215827338129,0.333641404805915,0.9600532623169108,0.0,0.03994673768308921,1.0,721,0,30,1082
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,risk_control@suff_abstain15,0.8,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.7315315315315315,0.4882882882882883,0.5239852398523985,0.3282442748091603,0.12345679012345678,0.6717557251908397,0.8765432098765432,129,20,264,271,0.7122302158273381,0.5170863309352518,0.5356521739130434,0.355525965379494,0.14681440443213298,0.644474034620506,0.853185595567867,267,53,484,575
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,high_precision@cov50,0.85,40,0.8419245253789036,0.9103138584551879,0.8419245253789036,0.9103138584551879,0.6108108108108108,0.6486486486486487,0.425,0.5267175572519084,0.05555555555555555,0.4732824427480916,0.9444444444444444,207,9,186,360,0.6106115107913669,0.6726618705035972,0.45187165775401067,0.5459387483355526,0.06371191135734072,0.4540612516644474,0.9362880886426593,410,23,341,748
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.35,40,0.8419245253789036,0.9103138584551879,0.834390710815865,0.8902844230562998,0.7963963963963964,0.14234234234234233,0.810126582278481,0.03816793893129771,0.6049382716049383,0.9618320610687023,0.3950617283950617,15,98,378,79,0.7670863309352518,0.13489208633093525,0.84,0.03195739014647137,0.6509695290858726,0.9680426098535286,0.3490304709141274,24,235,727,150
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,reliable@cov85,1.0,40,0.8419245253789036,0.9103138584551879,0.834390710815865,0.8902844230562998,0.2918918918918919,1.0,0.2918918918918919,1.0,0.0,0.0,1.0,393,0,0,555,0.32464028776978415,1.0,0.32464028776978415,1.0,0.0,0.0,1.0,751,0,0,1112
