split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,questions_with_no_hits
train,5,5183,1556,3627,0.30021223229789695,0.544472313332047,0.592513988037816,0
train,10,5183,1969,3214,0.37989581323557786,0.5986880185220914,0.6476943854910283,0
train,20,5183,2342,2841,0.45186185606791435,0.6467296932278603,0.6967972216862821,0
train,50,5183,2756,2427,0.5317383754582288,0.7024889060389735,0.7475400347289215,0
valid,5,1110,324,786,0.2918918918918919,0.5252252252252252,0.5788288288288288,0
valid,10,1110,410,700,0.36936936936936937,0.5783783783783784,0.6337837837837837,0
valid,20,1110,472,638,0.4252252252252252,0.6360360360360361,0.6752252252252252,0
valid,50,1110,569,541,0.5126126126126126,0.6936936936936937,0.7342342342342343,0
test,5,1112,361,751,0.32464028776978415,0.5512589928057554,0.5971223021582733,0
test,10,1112,445,667,0.4001798561151079,0.6052158273381295,0.6555755395683454,0
test,20,1112,530,582,0.4766187050359712,0.6600719424460432,0.7090827338129496,0
test,50,1112,626,486,0.5629496402877698,0.7176258992805755,0.7612410071942446,0
all,5,7405,2241,5164,0.3026333558406482,0.5426063470627954,0.5911546252532073,0
all,10,7405,2824,4581,0.38136394328156653,0.5966239027683997,0.6467927076299798,0
all,20,7405,3344,4061,0.45158676569885214,0.6471303173531398,0.6954085077650236,0
all,50,7405,3951,3454,0.5335584064821067,0.7034436191762323,0.7476029709655638,0
