method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.4,40,0.9296434805640454,0.8484423294452518,0.927520490895597,0.8282260714923744,0.8540540540540541,0.5936936936936937,0.921092564491654,0.13231552162849872,0.15341701534170155,0.8676844783715013,0.8465829846582985,52,110,341,659,0.8538669064748201,0.585431654676259,0.9408602150537635,0.10252996005326231,0.16836388323150034,0.8974700399467377,0.8316361167684997,77,248,674,1302
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.5,40,0.9296434805640454,0.8484423294452518,0.927520490895597,0.8282260714923744,0.8522522522522522,0.6927927927927928,0.8595578673602081,0.2748091603053435,0.07810320781032078,0.7251908396946565,0.9218967921896792,108,56,285,769,0.8372302158273381,0.6937949640287769,0.8600129617627997,0.28761651131824234,0.09911744738628649,0.7123834886817576,0.9008825526137135,216,146,535,1543
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,balanced,0.55,68,0.9525403105883714,0.9051457204676058,0.9488403332781907,0.8870358780803631,0.8882882882882883,0.6657657657657657,0.9012178619756428,0.18575063613231552,0.07112970711297072,0.8142493638676844,0.9288702928870293,73,51,320,739,0.8781474820143885,0.6636690647482014,0.9071815718157181,0.18242343541944075,0.09097080787508487,0.8175765645805593,0.9090291921249152,137,134,614,1476
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,risk_control@suff_abstain15,0.25,68,0.9525403105883714,0.9051457204676058,0.9488403332781907,0.8870358780803631,0.8765765765765766,0.6036036036036037,0.9328358208955224,0.11450381679389313,0.12831241283124128,0.8854961832061069,0.8716875871687587,45,92,348,670,0.8718525179856115,0.5881294964028777,0.9541284403669725,0.07989347536617843,0.15274949083503056,0.9201065246338216,0.8472505091649695,60,225,691,1308
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,balanced,0.45,56,0.9505642171605544,0.9023116331470632,0.9483797570652572,0.8891026252559102,0.890990990990991,0.6594594594594595,0.907103825136612,0.17302798982188294,0.07391910739191074,0.8269720101781171,0.9260808926080892,68,53,325,732,0.8705035971223022,0.6470323741007195,0.9117442668519805,0.16910785619174434,0.10930074677528853,0.8308921438082557,0.8906992532247114,127,161,624,1439
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,risk_control@suff_abstain15,0.35,56,0.9505642171605544,0.9023116331470632,0.9483797570652572,0.8891026252559102,0.8621621621621621,0.5963963963963964,0.9259818731117825,0.12468193384223919,0.14504881450488144,0.8753180661577609,0.8549511854951185,49,104,344,662,0.8619604316546763,0.5809352517985612,0.9512383900928792,0.08388814913448735,0.16564833672776647,0.9161118508655126,0.8343516632722335,63,244,688,1292
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,balanced,0.6,22,0.7806762289339492,0.7042253321787268,0.7773098190871099,0.6708055721227995,0.7522522522522522,0.8144144144144144,0.7444690265486725,0.5877862595419847,0.061366806136680614,0.4122137404580153,0.9386331938633193,231,44,162,904,0.7589928057553957,0.8322841726618705,0.7531064289573204,0.6085219707057257,0.05363204344874406,0.3914780292942743,0.9463679565512559,457,79,294,1851
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,risk_control@suff_abstain15,0.4,22,0.7806762289339492,0.7042253321787268,0.7773098190871099,0.6708055721227995,0.7495495495495496,0.7216216216216216,0.7740324594257179,0.46055979643765904,0.13528591352859135,0.539440203562341,0.8647140864714087,181,97,212,801,0.7558453237410072,0.7410071942446043,0.7821601941747572,0.4780292942743009,0.12491513917175831,0.521970705725699,0.8750848608282417,359,184,392,1648
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,balanced,0.65,30,0.9208830407612206,0.8263624117938785,0.9193679755347701,0.8069155647993026,0.8441441441441442,0.7063063063063063,0.8469387755102041,0.3053435114503817,0.07391910739191074,0.6946564885496184,0.9260808926080892,120,53,273,784,0.8372302158273381,0.7225719424460432,0.8456751711263223,0.33022636484687085,0.07739307535641547,0.6697736351531292,0.9226069246435845,248,114,503,1607
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,risk_control@suff_abstain15,0.5,30,0.9208830407612206,0.8263624117938785,0.9193679755347701,0.8069155647993026,0.8441441441441442,0.6702702702702703,0.8655913978494624,0.2544529262086514,0.10181311018131102,0.7455470737913485,0.898186889818689,100,73,293,744,0.8367805755395683,0.6798561151079137,0.8670634920634921,0.26764314247669774,0.109979633401222,0.7323568575233023,0.890020366598778,201,162,550,1512
