method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,balanced,0.5,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.8594594594594595,0.6207207207207207,0.9071117561683599,0.1628498727735369,0.12831241283124128,0.8371501272264631,0.8716875871687587,64,92,329,689,0.8556654676258992,0.612410071942446,0.9229074889867841,0.13981358189081225,0.14663951120162932,0.8601864181091877,0.8533604887983707,105,216,646,1362
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,reliable@cov85,0.85,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.7693693693693694,0.8567567567567568,0.7423764458464774,0.6234096692111959,0.015341701534170154,0.37659033078880405,0.9846582984658299,245,11,148,951,0.7643884892086331,0.8709532374100719,0.7449664429530202,0.6577896138482024,0.020366598778004074,0.3422103861517976,0.9796334012219959,494,30,257,1937
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,risk_control@suff_abstain15,0.5,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.8594594594594595,0.6207207207207207,0.9071117561683599,0.1628498727735369,0.12831241283124128,0.8371501272264631,0.8716875871687587,64,92,329,689,0.8556654676258992,0.612410071942446,0.9229074889867841,0.13981358189081225,0.14663951120162932,0.8601864181091877,0.8533604887983707,105,216,646,1362
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,high_precision@cov50,0.25,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.8252252252252252,0.5054054054054054,0.966131907308378,0.04834605597964377,0.24407252440725244,0.9516539440203562,0.7559274755927475,19,175,374,561,0.8116007194244604,0.49280575539568344,0.9808394160583942,0.02796271637816245,0.2701968771215207,0.9720372836218375,0.7298031228784793,21,398,730,1096
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,balanced,0.45,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.8612612612612612,0.6261261261261262,0.9050359712230216,0.16793893129770993,0.12273361227336123,0.8320610687022901,0.8772663877266388,66,88,327,695,0.8552158273381295,0.6209532374100719,0.9167270094134685,0.15312916111850866,0.14052953156822812,0.8468708388814914,0.8594704684317719,115,207,636,1381
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,reliable@cov85,0.9,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.7153153153153153,0.927027027027027,0.6948493683187561,0.7989821882951654,0.002789400278940028,0.2010178117048346,0.99721059972106,314,2,79,1029,0.7135791366906474,0.9424460431654677,0.6994274809160306,0.8388814913448736,0.0047522063815342835,0.1611185086551265,0.9952477936184657,630,7,121,2096
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,risk_control@suff_abstain15,0.4,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.8585585585585586,0.609009009009009,0.9142011834319527,0.1475826972010178,0.13807531380753138,0.8524173027989822,0.8619246861924686,58,99,335,676,0.8547661870503597,0.6007194244604317,0.9303892215568862,0.12383488681757657,0.1561439239646979,0.8761651131824234,0.8438560760353021,93,230,658,1336
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,high_precision@cov50,0.15,40,0.9296434805640454,0.8484423294452518,0.9296434805640454,0.8484423294452518,0.8252252252252252,0.5054054054054054,0.966131907308378,0.04834605597964377,0.24407252440725244,0.9516539440203562,0.7559274755927475,19,175,374,561,0.8116007194244604,0.49280575539568344,0.9808394160583942,0.02796271637816245,0.2701968771215207,0.9720372836218375,0.7298031228784793,21,398,730,1096
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.4,40,0.9296434805640454,0.8484423294452518,0.927520490895597,0.8282260714923744,0.8540540540540541,0.5936936936936937,0.921092564491654,0.13231552162849872,0.15341701534170155,0.8676844783715013,0.8465829846582985,52,110,341,659,0.8538669064748201,0.585431654676259,0.9408602150537635,0.10252996005326231,0.16836388323150034,0.8974700399467377,0.8316361167684997,77,248,674,1302
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,reliable@cov85,0.85,40,0.9296434805640454,0.8484423294452518,0.927520490895597,0.8282260714923744,0.7675675675675676,0.8675675675675676,0.7383177570093458,0.6412213740458015,0.008368200836820083,0.35877862595419846,0.9916317991631799,252,6,141,963,0.7567446043165468,0.8839928057553957,0.737029501525941,0.6884154460719041,0.016293279022403257,0.31158455392809586,0.9837067209775967,517,24,234,1966
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.5,40,0.9296434805640454,0.8484423294452518,0.927520490895597,0.8282260714923744,0.8522522522522522,0.6927927927927928,0.8595578673602081,0.2748091603053435,0.07810320781032078,0.7251908396946565,0.9218967921896792,108,56,285,769,0.8372302158273381,0.6937949640287769,0.8600129617627997,0.28761651131824234,0.09911744738628649,0.7123834886817576,0.9008825526137135,216,146,535,1543
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,high_precision@cov50,0.25,40,0.9296434805640454,0.8484423294452518,0.927520490895597,0.8282260714923744,0.8288288288288288,0.5144144144144144,0.9614711033274956,0.05597964376590331,0.23430962343096234,0.9440203562340967,0.7656903765690377,22,168,371,571,0.8183453237410072,0.5049460431654677,0.9759572573463936,0.03595206391478029,0.25594025797691783,0.9640479360852197,0.7440597420230821,27,377,724,1123
