cache_key,text_key,text_type,occurrence_count,estimated_embedding_tokens,example_title,example_original_ids,splits
e121f97f2c36508a86ffa8742c593cb9424c8c5cc67dd300fbb4696efc073fe2,c82c916cc418b8fed607da5d6e80a51bfc706df0491ea9601cb98b1777fb7115,doc,217,101,Association football,5a7109e95542994082a3e4fa || 5a7133fa5542994082a3e660 || 5a721dfd55429971e9dc928b,test:28 || train:157 || valid:32
79f1217cc1ff9c02250cdb4a71261e92f98a299e819185a36774f7fb91d53971,7885ed5f849e880d7ff22bc4bd024b58accd2a0f30eeaf49dd28adeb0005d68c,doc,174,205,New York City,5a711ef85542994082a3e5ac || 5a7130365542994082a3e645 || 5a713f3c5542994082a3e6eb,test:26 || train:120 || valid:28
e5319f9473a85aad0ed0eb793f1030faeb69a0163071bee60aaadaa6ea9caf8c,68536a07b58da53b7ac9a607f01742f846c3362ae31a5c725f54900e1fd0212c,doc,147,103,Film director,5a710a915542994082a3e504 || 5a717d4c5542994082a3e854 || 5a73235c5542994cef4bc475,test:19 || train:107 || valid:21
0ce6872ebf5f1fe15c6f2bedcbc1604f2736f335f447db300537558fe834580c,396dd7c6123a1723f040eefa6198d52c4631786f3fc152b7825bc38e14e05b48,doc,129,130,England,5a7286865542991f9a20c4cb || 5a73b0975542992d56e7e387 || 5a74ce9655429974ef308c6c,test:16 || train:93 || valid:20
aa429525d6f0ed99f3ff1d39dc2c4bee7699bab6625c30cb049d50c73f7de154,8b167b748c8969d7d595a9ea06c0ae25dc8304bd60082a9dd63dc218770cb02f,doc,112,111,Australia,5a721d5a55429971e9dc9283 || 5a75227955429929fddd8508 || 5a7571835542992db9473669,test:15 || train:79 || valid:18
45bd06ea496f49ecf3767f8433b8376e311ee73bfa8a8f775078e3420de74ebc,c149e9eeb4b61d6bcb0d35934cf0fb7af7d63c328c4f744af2a731a6dfc79907,doc,112,143,World War II,5a72bb045542994cef4bc3e4 || 5a7323ef5542994cef4bc477 || 5a75f7db5542994ccc918670,test:22 || train:68 || valid:22
dc42678d3d6bf1930a589fcf379929b7785177c58fa3d5d45b04463a20eed2e3,4052ae0951ee29d5c88007b9b6144828c9266c86219577bc9d01af0b2a358de8,doc,109,75,Russian language,5a717d4c5542994082a3e854 || 5a7281075542994cef4bc2e9 || 5a7319bc5542992359bc3235,test:23 || train:72 || valid:14
a9ed576ff9125e1ae19db60495323682e1eb246e7e7e9bd014281f66a1af21d1,8e82e2549afcc4b0211b17fdc01a4a8d9082aced73950c4080fe802ea37ac745,doc,104,132,Actor,5a72b2dc5542992359bc3173 || 5a7326cd5542991f29ee2d11 || 5a73630655429901807db020,test:23 || train:65 || valid:16
9a10ffabac56c46e078baeb75a44129630eedded9e33ee9a4c38cafa796c31e0,e7f80667719a7936e92ea2139aa269ceadff4aad3f91564dbcc6b27ea1450236,doc,101,133,Comedy film,5a7149595542994082a3e76f || 5a7291c35542991f9a20c4f4 || 5a7327265542994cef4bc480,test:13 || train:69 || valid:19
577d70f9b2ad2aa3fa85613f82c8ce410133e04159a648abf98b214b794794d3,cf5437f24265630322021dba15af4377efa1de78bf7dac8d4796be8df184eeef,doc,98,150,Germany,5a71278c5542994082a3e5e2 || 5a71419f5542994082a3e70d || 5a717d4c5542994082a3e854,test:11 || train:69 || valid:18
c2c310e1563fed9c35bde0fd15fda2ebc8fcdb29b9d43285b059cad643957ec4,ea657623ef33fd166a2ab1cb72291b41d67b54b357babbee44894732be1a61e0,doc,96,153,China,5a7133fa5542994082a3e660 || 5a730abe5542994cef4bc42f || 5a739d8755429978a71e9048,test:15 || train:67 || valid:14
96b60d346bbc4a24e442336e1656f8cb787453417fbe34ced504e249bec0e0ee,f14029ab4629794e2150702e70774e7e3434f2e1cbb5c131d9aff5299cdf88bc,doc,95,149,California,5a72125055429971e9dc9241 || 5a73977d554299623ed4ac08 || 5a74c2bd5542996c70cfadda,test:15 || train:65 || valid:15
8ebf40381557d1fdbd52bf9334bcd25053cdc7e2ee79acac5b9b97ec3fe3f701,007e7d30b6a2f4a7b44ea8de25f7a8d4d6d22b3967ba76c8a00e97230ee57c9b,doc,93,220,American football,5a7320565542991f9a20c61d || 5a73bddb55429978a71e909d || 5a74547755429979e2882900,test:8 || train:68 || valid:17
aac3ca1a2086dc271872e4a5b51377f2b6f56e89e37c90a0e307e709f9935ce0,01335226e928b632950662e4d5c429cec961bad7003f2e515f6b310693e214c4,doc,87,112,Italy,5a7299465542992359bc3131 || 5a72bd0b5542992359bc318f || 5a7322a25542991f9a20c634,test:9 || train:68 || valid:10
7feb85ec539cdb44bc51f9c249438d19ea125d778ed1b31919691023d7ed796e,96a7b9fee542c3d7834ddc288bd5ca03a61700d94a45042f9c27c2bbe9c90936,doc,83,50,Screenwriter,5a74701655429979e2882952 || 5a7643675542994ccc918747 || 5a7652785542992db9473760,test:12 || train:59 || valid:12
57edfc2335e4a1f3ce5ddcf2f8dda23e8846c483d6c161bf503f9c1e0c8e606f,350f503c3ca1ed4787e6f875853b3c285589eb9f1ccb0008c9f4e06b12124b43,doc,82,119,Documentary film,5a724dc25542990c210a40df || 5a7622d75542994ccc9186f1 || 5a76404b5542994ccc91873d,test:12 || train:65 || valid:5
d13c5abef931f6526d52c03ce8b1cdfaea336d1a52e294dfbe551ebd1d2fa452,1ed8135dbf84aab6ec9258d4b8228004dade4f11a9f8c86373a5a4b2ac8ccd29,doc,81,190,France,5a74872655429979e2882978 || 5a75092b55429916b0164242 || 5a750de95542993748c897ac,test:7 || train:63 || valid:11
340df1b73a49f8bbe49765a91a070b81b7d209625e53e0198ca09986b6a62110,4676670ef6b5444d99965c6aad33037e936cf5b992c149869bdf1066e469e644,doc,80,71,Genus,5a727a635542994cef4bc2c9 || 5a82a1ae55429954d2e2eb89 || 5a836ce55542993344746012,test:10 || train:54 || valid:16
7e4e22cd158ea286ffd92003550b78193e1d0287ba680abe3d3e655f9d97f026,047d87fc35d802130732a7315d57a2a2b1bf17b23816b5bb063bdb3e2e43974f,doc,79,82,New York (state),5a71380c5542994082a3e68b || 5a758f775542992db9473682 || 5a75eca555429976ec32bca8,test:11 || train:54 || valid:14
5a1e34ac9a561c4de11f27ede9b6364fe393c488ef6fb15d38ac12a520da4f6c,dd09b45896e8bbcea885d85a61066f2940423989a877149ef42fa668145c1498,doc,75,20,London,5a7270395542992359bc30a8 || 5a7299465542992359bc3131 || 5a74ce9655429974ef308c6c,test:15 || train:46 || valid:14
ef907affba87d155cdca8462275ebdacc8c6dbb63bae72524d312afb126fcbb9,f762072193839bd3bffe5335acf9966799cc2604b08695ee1c0c9ecf439bb983,doc,73,104,Basketball,5a724a2b5542990c210a40bc || 5a7302b75542991f9a20c5fd || 5a739d8755429978a71e9048,test:13 || train:49 || valid:11
7f51c84fffbeef58c0a96d8712ea2a971267ece071976600683a62e000ba170e,9257fea1feee8023b7b8a6ea25a797ad8c981b8ad853ea34ee2bd29502d9a9b0,doc,65,136,NBC,5a728f505542992359bc30f5 || 5a72a9ac5542991f9a20c55f || 5a75f1a755429976ec32bcb1,test:17 || train:41 || valid:7
647a584e354dce8e8baa4fa87491440491edf2f360d64e2cfa9cf36d387fdfac,b8cc56ee67e55dec5337c98d209d63859137884060560acf3a572a4038c7400d,doc,65,177,National Football League,5a7320565542991f9a20c61d || 5a758ba75542992db9473677 || 5a764c0b55429976ec32bd89,test:5 || train:49 || valid:11
a5a9e0a7278a498e5cdd2e4d9a8ded00b0bebe55eaecf97e79a99d70cafff5fe,8c8b644d178ebf95f516290626edaacd717d5dc24cc047972e0e373f9373755f,doc,62,142,Opera,5a70f4c45542994082a3e437 || 5a716dc15542994082a3e82b || 5a734db15542994cef4bc523,test:8 || train:51 || valid:3
37b1e72a1caf8d019eb62e63e51d41518fd4b65a1ca9c5b4eb173c5619f04800,fedfe3e6120341040b4dd9a34c363a78fdccd3013d953de30141c0fea89e66da,doc,62,123,South Korea,5a7354e35542994cef4bc55b || 5a737d3c55429908901be2c8 || 5a758ce05542992db947367c,test:11 || train:41 || valid:10
e4556cd7721e21a58936d88903ac6f704b8c74c1d90eb55af723875605ea0c3d,15f7c59168d20341f5c216e00be96041a732beee7c5e4c4e8740d494b5ecbc85,doc,61,146,National Basketball Association,5a7618d85542994ccc9186cf || 5a762d53554299109176e6a7 || 5a764c0b55429976ec32bd89,test:15 || train:39 || valid:7
