method_name,policy,split,metric,point,ci_low,ci_high,bootstrap_iters
top1_embedding_threshold,balanced,retrieval_test,coverage,0.5386690647482014,0.507171762589928,0.5692446043165468,1000
top1_embedding_threshold,balanced,retrieval_test,selective_accuracy,0.5776293823038398,0.5372198581560284,0.6167486704826858,1000
top1_embedding_threshold,balanced,retrieval_test,insufficient_answer_rate,0.4288135593220339,0.38868511175198267,0.4675208070281517,1000
top1_embedding_threshold,balanced,retrieval_test,sufficient_abstain_rate,0.3371647509578544,0.29790369036260395,0.3790675526024363,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,coverage,0.4262589928057554,0.3983588129496403,0.45593525179856115,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,selective_accuracy,0.7383966244725738,0.7027027027027027,0.778500753176705,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.21016949152542372,0.17555564177083038,0.24494038241609484,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.32950191570881227,0.28849542216601265,0.36692373559056063,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,coverage,0.5035971223021583,0.4739208633093525,0.5332958633093525,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,selective_accuracy,0.7196428571428571,0.6832380198559552,0.7577968744058708,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.26610169491525426,0.22934232715008432,0.2996576783819934,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.22796934865900384,0.19190424959655727,0.2646064879506417,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,coverage,0.4073741007194245,0.3776753597122302,0.43435251798561153,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,selective_accuracy,0.8079470198675497,0.7731254021679949,0.843056785157528,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.14745762711864407,0.11939718505916015,0.17621625104282349,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.2988505747126437,0.25966572918172015,0.33524988236875713,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,coverage,0.5692446043165468,0.5377697841726619,0.6016411870503597,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,selective_accuracy,0.7140600315955766,0.6805869565217392,0.7479938994575305,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,insufficient_answer_rate,0.30677966101694915,0.26895394385423466,0.3475254394079556,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,sufficient_abstain_rate,0.13409961685823754,0.10742022474527833,0.16510901762822833,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,coverage,0.9001798561151079,0.8812949640287769,0.9181654676258992,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,selective_accuracy,0.5194805194805194,0.4886239940593884,0.5504557073145543,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,insufficient_answer_rate,0.8152542372881356,0.7823816573261428,0.8449750851788757,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,sufficient_abstain_rate,0.0038314176245210726,0.0,0.00976706394277996,1000
