method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.5,40,0.8392395610104553,0.862139551405572,0.8348788882394962,0.83598581590314,0.7581227436823105,0.5,0.703971119133574,0.2671009771986971,0.21052631578947367,0.7328990228013029,0.7894736842105263,82,52,225,277,0.7517985611510791,0.5035971223021583,0.7196428571428571,0.26610169491525426,0.22796934865900384,0.7338983050847457,0.7720306513409961,157,119,433,560
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.65,40,0.8392395610104553,0.862139551405572,0.8348788882394962,0.83598581590314,0.740072202166065,0.5866425992779783,0.6584615384615384,0.36156351791530944,0.13360323886639677,0.6384364820846905,0.8663967611336032,111,33,196,325,0.72931654676259,0.5926258992805755,0.6676783004552352,0.3711864406779661,0.15708812260536398,0.6288135593220339,0.842911877394636,219,82,371,659
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,balanced,0.45,68,0.8692317682966425,0.8898648837330608,0.864294759399961,0.8644061345259433,0.796028880866426,0.3935018050541516,0.8073394495412844,0.13680781758957655,0.2874493927125506,0.8631921824104235,0.7125506072874493,42,71,265,218,0.7814748201438849,0.4073741007194245,0.8079470198675497,0.14745762711864407,0.2988505747126437,0.8525423728813559,0.7011494252873564,87,156,503,453
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,risk_control@suff_abstain15,0.65,68,0.8692317682966425,0.8898648837330608,0.864294759399961,0.8644061345259433,0.779783393501805,0.5469314079422383,0.7062706270627063,0.2899022801302932,0.13360323886639677,0.7100977198697068,0.8663967611336032,89,33,218,303,0.7742805755395683,0.5692446043165468,0.7140600315955766,0.30677966101694915,0.13409961685823754,0.6932203389830508,0.8659003831417624,181,70,409,633
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,balanced,0.5,56,0.8537729722709266,0.8788305042345192,0.8522777453081368,0.8589816439542375,0.7851985559566786,0.44404332129963897,0.7601626016260162,0.19218241042345277,0.242914979757085,0.8078175895765473,0.757085020242915,59,60,248,246,0.7589928057553957,0.4460431654676259,0.7560483870967742,0.20508474576271185,0.28160919540229884,0.7949152542372881,0.7183908045977011,121,147,469,496
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,risk_control@suff_abstain15,0.7,56,0.8537729722709266,0.8788305042345192,0.8522777453081368,0.8589816439542375,0.7310469314079422,0.628158844765343,0.6408045977011494,0.40716612377850164,0.09716599190283401,0.5928338762214984,0.902834008097166,125,24,182,348,0.7410071942446043,0.6636690647482014,0.6585365853658537,0.4271186440677966,0.06896551724137931,0.5728813559322034,0.9310344827586207,252,36,338,738
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,balanced,0.5,22,0.7950581206571855,0.8246962749096151,0.7933534645106824,0.8019839932809731,0.7418772563176895,0.37184115523465705,0.7524271844660194,0.16612377850162866,0.3724696356275304,0.8338762214983714,0.6275303643724697,51,92,256,206,0.7113309352517986,0.36780575539568344,0.7457212713936431,0.17627118644067796,0.4157088122605364,0.823728813559322,0.5842911877394636,104,217,486,409
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,risk_control@suff_abstain15,0.6,22,0.7950581206571855,0.8246962749096151,0.7933534645106824,0.8019839932809731,0.6678700361010831,0.6732851985559567,0.5844504021447721,0.504885993485342,0.11740890688259109,0.495114006514658,0.8825910931174089,155,29,152,373,0.6825539568345323,0.6699640287769785,0.6134228187919463,0.488135593220339,0.12452107279693486,0.511864406779661,0.8754789272030651,288,65,302,745
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,balanced,0.45,30,0.8257256964737971,0.8529388559013533,0.8203698292096888,0.8259465287875988,0.7671480144404332,0.4187725631768953,0.7543103448275862,0.18566775244299674,0.291497975708502,0.8143322475570033,0.708502024291498,57,72,250,232,0.7338129496402878,0.4262589928057554,0.7383966244725738,0.21016949152542372,0.32950191570881227,0.7898305084745763,0.6704980842911877,124,172,466,474
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,risk_control@suff_abstain15,0.7,30,0.8257256964737971,0.8529388559013533,0.8203698292096888,0.8259465287875988,0.6967509025270758,0.6516245487364621,0.6094182825484764,0.4592833876221498,0.10931174089068826,0.5407166123778502,0.8906882591093117,141,27,166,361,0.6942446043165468,0.685251798561151,0.6194225721784777,0.4915254237288136,0.09578544061302682,0.5084745762711864,0.9042145593869731,290,50,300,762
