method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,balanced,0.5,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.7653429602888087,0.44945848375451264,0.7349397590361446,0.21498371335504887,0.2591093117408907,0.7850162866449512,0.7408906882591093,66,64,241,249,0.7571942446043165,0.460431654676259,0.74609375,0.22033898305084745,0.2681992337164751,0.7796610169491526,0.7318007662835249,130,140,460,512
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,reliable@cov85,0.9,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.5649819494584838,0.8772563176895307,0.5061728395061729,0.7817589576547231,0.004048582995951417,0.2182410423452769,0.9959514170040485,240,1,67,486,0.579136690647482,0.8848920863309353,0.5274390243902439,0.788135593220339,0.005747126436781609,0.211864406779661,0.9942528735632183,465,3,125,984
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,risk_control@suff_abstain15,0.65,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.7436823104693141,0.5974729241877257,0.6586102719033232,0.36807817589576547,0.11740890688259109,0.6319218241042345,0.8825910931174089,113,29,194,331,0.7266187050359713,0.6061151079136691,0.6617210682492581,0.3864406779661017,0.14559386973180077,0.6135593220338983,0.8544061302681992,228,76,362,674
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,high_precision@cov50,0.55,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.7581227436823105,0.5036101083032491,0.7025089605734767,0.2703583061889251,0.20647773279352227,0.7296416938110749,0.7935222672064778,83,51,224,279,0.7526978417266187,0.5080935251798561,0.7185840707964601,0.26949152542372884,0.2222222222222222,0.7305084745762712,0.7777777777777778,159,116,431,565
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,balanced,0.55,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.7635379061371841,0.44765342960288806,0.7338709677419355,0.21498371335504887,0.2631578947368421,0.7850162866449512,0.7368421052631579,66,65,241,248,0.7580935251798561,0.45593525179856115,0.7495069033530573,0.21525423728813559,0.2720306513409962,0.7847457627118644,0.7279693486590039,127,142,463,507
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,reliable@cov85,0.9,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.5595667870036101,0.8826714801444043,0.5030674846625767,0.7915309446254072,0.004048582995951417,0.20846905537459284,0.9959514170040485,243,1,64,489,0.5773381294964028,0.8884892086330936,0.5263157894736842,0.7932203389830509,0.0038314176245210726,0.20677966101694914,0.9961685823754789,468,2,122,988
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,risk_control@suff_abstain15,0.7,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.7454873646209387,0.5812274368231047,0.6645962732919255,0.3517915309446254,0.13360323886639677,0.6482084690553745,0.8663967611336032,108,33,199,322,0.7311151079136691,0.5890287769784173,0.6702290076335878,0.36610169491525424,0.15900383141762453,0.6338983050847458,0.8409961685823755,216,83,374,655
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,high_precision@cov50,0.65,40,0.8392395610104553,0.862139551405572,0.8392395610104553,0.862139551405572,0.7581227436823105,0.5361010830324909,0.6902356902356902,0.2996742671009772,0.1700404858299595,0.7003257328990228,0.8299595141700404,92,42,215,297,0.7580935251798561,0.5350719424460432,0.7126050420168067,0.28983050847457625,0.18773946360153257,0.7101694915254237,0.8122605363984674,171,98,419,595
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.5,40,0.8392395610104553,0.862139551405572,0.8348788882394962,0.83598581590314,0.7581227436823105,0.5,0.703971119133574,0.2671009771986971,0.21052631578947367,0.7328990228013029,0.7894736842105263,82,52,225,277,0.7517985611510791,0.5035971223021583,0.7196428571428571,0.26610169491525426,0.22796934865900384,0.7338983050847457,0.7720306513409961,157,119,433,560
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,reliable@cov85,1.0,40,0.8392395610104553,0.862139551405572,0.8348788882394962,0.83598581590314,0.44584837545126355,1.0,0.44584837545126355,1.0,0.0,0.0,1.0,307,0,0,554,0.4694244604316547,1.0,0.4694244604316547,1.0,0.0,0.0,1.0,590,0,0,1112
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.65,40,0.8392395610104553,0.862139551405572,0.8348788882394962,0.83598581590314,0.740072202166065,0.5866425992779783,0.6584615384615384,0.36156351791530944,0.13360323886639677,0.6384364820846905,0.8663967611336032,111,33,196,325,0.72931654676259,0.5926258992805755,0.6676783004552352,0.3711864406779661,0.15708812260536398,0.6288135593220339,0.842911877394636,219,82,371,659
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,high_precision@cov50,0.5,40,0.8392395610104553,0.862139551405572,0.8348788882394962,0.83598581590314,0.7581227436823105,0.5,0.703971119133574,0.2671009771986971,0.21052631578947367,0.7328990228013029,0.7894736842105263,82,52,225,277,0.7517985611510791,0.5035971223021583,0.7196428571428571,0.26610169491525426,0.22796934865900384,0.7338983050847457,0.7720306513409961,157,119,433,560
logistic_regression/v3_all/identity,model,logistic_regression,v3_all,identity,balanced,0.4,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.796028880866426,0.36462093862815886,0.8316831683168316,0.11074918566775244,0.31983805668016196,0.8892508143322475,0.680161943319838,34,79,273,202,0.7733812949640287,0.3830935251798561,0.8169014084507042,0.13220338983050847,0.3333333333333333,0.8677966101694915,0.6666666666666666,78,174,512,426
logistic_regression/v3_all/identity,model,logistic_regression,v3_all,identity,reliable@cov85,0.95,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.5523465703971119,0.8898916967509025,0.49898580121703856,0.8045602605863192,0.004048582995951417,0.19543973941368079,0.9959514170040485,247,1,60,493,0.5782374100719424,0.887589928057554,0.5268490374873354,0.7915254237288135,0.0038314176245210726,0.20847457627118643,0.9961685823754789,467,2,123,987
logistic_regression/v3_all/identity,model,logistic_regression,v3_all,identity,risk_control@suff_abstain15,0.6,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.7851985559566786,0.5306859205776173,0.717687074829932,0.2703583061889251,0.145748987854251,0.7296416938110749,0.854251012145749,83,36,224,294,0.7850719424460432,0.545863309352518,0.7331136738056013,0.2745762711864407,0.1475095785440613,0.7254237288135593,0.8524904214559387,162,77,428,607
logistic_regression/v3_all/identity,model,logistic_regression,v3_all,identity,high_precision@cov50,0.6,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.7851985559566786,0.5306859205776173,0.717687074829932,0.2703583061889251,0.145748987854251,0.7296416938110749,0.854251012145749,83,36,224,294,0.7850719424460432,0.545863309352518,0.7331136738056013,0.2745762711864407,0.1475095785440613,0.7254237288135593,0.8524904214559387,162,77,428,607
logistic_regression/v3_all/platt,model,logistic_regression,v3_all,platt,balanced,0.45,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.8032490974729242,0.37906137184115524,0.8285714285714286,0.11726384364820847,0.29554655870445345,0.8827361563517915,0.7044534412955465,36,73,271,210,0.7733812949640287,0.3920863309352518,0.8096330275229358,0.14067796610169492,0.32375478927203066,0.8593220338983051,0.6762452107279694,83,169,507,436
logistic_regression/v3_all/platt,model,logistic_regression,v3_all,platt,reliable@cov85,0.95,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.44584837545126355,1.0,0.44584837545126355,1.0,0.0,0.0,1.0,307,0,0,554,0.4694244604316547,1.0,0.4694244604316547,1.0,0.0,0.0,1.0,590,0,0,1112
logistic_regression/v3_all/platt,model,logistic_regression,v3_all,platt,risk_control@suff_abstain15,0.7,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.779783393501805,0.5469314079422383,0.7062706270627063,0.2899022801302932,0.13360323886639677,0.7100977198697068,0.8663967611336032,89,33,218,303,0.7742805755395683,0.5692446043165468,0.7140600315955766,0.30677966101694915,0.13409961685823754,0.6932203389830508,0.8659003831417624,181,70,409,633
logistic_regression/v3_all/platt,model,logistic_regression,v3_all,platt,high_precision@cov50,0.65,68,0.8692317682966425,0.8898648837330608,0.8692317682966425,0.8898648837330608,0.7888086642599278,0.5054151624548736,0.7321428571428571,0.24429967426710097,0.1700404858299595,0.755700325732899,0.8299595141700404,75,42,232,280,0.7841726618705036,0.5233812949640287,0.7422680412371134,0.2542372881355932,0.1724137931034483,0.7457627118644068,0.8275862068965517,150,90,440,582
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,balanced,0.45,68,0.8692317682966425,0.8898648837330608,0.864294759399961,0.8644061345259433,0.796028880866426,0.3935018050541516,0.8073394495412844,0.13680781758957655,0.2874493927125506,0.8631921824104235,0.7125506072874493,42,71,265,218,0.7814748201438849,0.4073741007194245,0.8079470198675497,0.14745762711864407,0.2988505747126437,0.8525423728813559,0.7011494252873564,87,156,503,453
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,reliable@cov85,0.95,68,0.8692317682966425,0.8898648837330608,0.864294759399961,0.8644061345259433,0.5577617328519856,0.8844765342960289,0.5020408163265306,0.7947882736156352,0.004048582995951417,0.20521172638436483,0.9959514170040485,244,1,63,490,0.5782374100719424,0.8839928057553957,0.5269582909460834,0.788135593220339,0.007662835249042145,0.211864406779661,0.9923371647509579,465,4,125,983
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,risk_control@suff_abstain15,0.65,68,0.8692317682966425,0.8898648837330608,0.864294759399961,0.8644061345259433,0.779783393501805,0.5469314079422383,0.7062706270627063,0.2899022801302932,0.13360323886639677,0.7100977198697068,0.8663967611336032,89,33,218,303,0.7742805755395683,0.5692446043165468,0.7140600315955766,0.30677966101694915,0.13409961685823754,0.6932203389830508,0.8659003831417624,181,70,409,633
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,high_precision@cov50,0.65,68,0.8692317682966425,0.8898648837330608,0.864294759399961,0.8644061345259433,0.779783393501805,0.5469314079422383,0.7062706270627063,0.2899022801302932,0.13360323886639677,0.7100977198697068,0.8663967611336032,89,33,218,303,0.7742805755395683,0.5692446043165468,0.7140600315955766,0.30677966101694915,0.13409961685823754,0.6932203389830508,0.8659003831417624,181,70,409,633
logistic_regression/v3_no_query/identity,model,logistic_regression,v3_no_query,identity,balanced,0.4,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.7888086642599278,0.37545126353790614,0.8125,0.1270358306188925,0.3157894736842105,0.8729641693811075,0.6842105263157895,39,78,268,208,0.7517985611510791,0.3830935251798561,0.7887323943661971,0.15254237288135594,0.3563218390804598,0.847457627118644,0.6436781609195402,90,186,500,426
logistic_regression/v3_no_query/identity,model,logistic_regression,v3_no_query,identity,reliable@cov85,0.9,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.5848375451263538,0.8537906137184116,0.5179704016913319,0.742671009771987,0.008097165991902834,0.25732899022801303,0.9919028340080972,228,2,79,473,0.6061151079136691,0.8561151079136691,0.5441176470588235,0.735593220338983,0.007662835249042145,0.26440677966101694,0.9923371647509579,434,4,156,952
logistic_regression/v3_no_query/identity,model,logistic_regression,v3_no_query,identity,risk_control@suff_abstain15,0.65,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.7490974729241877,0.5740072202166066,0.6698113207547169,0.34201954397394135,0.13765182186234817,0.6579804560260586,0.8623481781376519,105,34,202,318,0.7526978417266187,0.5980215827338129,0.6857142857142857,0.35423728813559324,0.12643678160919541,0.6457627118644068,0.8735632183908046,209,66,381,665
logistic_regression/v3_no_query/identity,model,logistic_regression,v3_no_query,identity,high_precision@cov50,0.6,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.7671480144404332,0.5415162454873647,0.6966666666666667,0.2964169381107492,0.15384615384615385,0.7035830618892508,0.8461538461538461,91,38,216,300,0.7589928057553957,0.5539568345323741,0.7061688311688312,0.30677966101694915,0.16666666666666666,0.6932203389830508,0.8333333333333334,181,87,409,616
logistic_regression/v3_no_query/platt,model,logistic_regression,v3_no_query,platt,balanced,0.45,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.7888086642599278,0.37545126353790614,0.8125,0.1270358306188925,0.3157894736842105,0.8729641693811075,0.6842105263157895,39,78,268,208,0.7526978417266187,0.3893884892086331,0.7852193995381063,0.1576271186440678,0.3486590038314176,0.8423728813559322,0.6513409961685823,93,182,497,433
logistic_regression/v3_no_query/platt,model,logistic_regression,v3_no_query,platt,reliable@cov85,0.9,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.555956678700361,0.8862815884476535,0.5010183299389002,0.7980456026058632,0.004048582995951417,0.20195439739413681,0.9959514170040485,245,1,62,491,0.5926258992805755,0.875,0.5354573484069887,0.7661016949152543,0.0019157088122605363,0.23389830508474577,0.9980842911877394,452,1,138,973
logistic_regression/v3_no_query/platt,model,logistic_regression,v3_no_query,platt,risk_control@suff_abstain15,0.7,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.7563176895306859,0.5595667870036101,0.6806451612903226,0.32247557003257327,0.145748987854251,0.6775244299674267,0.854251012145749,99,36,208,310,0.7526978417266187,0.5872302158273381,0.6891271056661562,0.3440677966101695,0.13793103448275862,0.6559322033898305,0.8620689655172413,203,72,387,653
logistic_regression/v3_no_query/platt,model,logistic_regression,v3_no_query,platt,high_precision@cov50,0.65,56,0.8537729722709266,0.8788305042345192,0.8537729722709266,0.8788305042345192,0.7743682310469314,0.5306859205776173,0.7074829931972789,0.28013029315960913,0.15789473684210525,0.7198697068403909,0.8421052631578947,86,39,221,294,0.7652877697841727,0.5404676258992805,0.7171381031613977,0.288135593220339,0.1743295019157088,0.711864406779661,0.8256704980842912,170,91,420,601
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,balanced,0.5,56,0.8537729722709266,0.8788305042345192,0.8522777453081368,0.8589816439542375,0.7851985559566786,0.44404332129963897,0.7601626016260162,0.19218241042345277,0.242914979757085,0.8078175895765473,0.757085020242915,59,60,248,246,0.7589928057553957,0.4460431654676259,0.7560483870967742,0.20508474576271185,0.28160919540229884,0.7949152542372881,0.7183908045977011,121,147,469,496
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,reliable@cov85,1.0,56,0.8537729722709266,0.8788305042345192,0.8522777453081368,0.8589816439542375,0.44584837545126355,1.0,0.44584837545126355,1.0,0.0,0.0,1.0,307,0,0,554,0.4694244604316547,1.0,0.4694244604316547,1.0,0.0,0.0,1.0,590,0,0,1112
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,risk_control@suff_abstain15,0.7,56,0.8537729722709266,0.8788305042345192,0.8522777453081368,0.8589816439542375,0.7310469314079422,0.628158844765343,0.6408045977011494,0.40716612377850164,0.09716599190283401,0.5928338762214984,0.902834008097166,125,24,182,348,0.7410071942446043,0.6636690647482014,0.6585365853658537,0.4271186440677966,0.06896551724137931,0.5728813559322034,0.9310344827586207,252,36,338,738
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,high_precision@cov50,0.7,56,0.8537729722709266,0.8788305042345192,0.8522777453081368,0.8589816439542375,0.7310469314079422,0.628158844765343,0.6408045977011494,0.40716612377850164,0.09716599190283401,0.5928338762214984,0.902834008097166,125,24,182,348,0.7410071942446043,0.6636690647482014,0.6585365853658537,0.4271186440677966,0.06896551724137931,0.5728813559322034,0.9310344827586207,252,36,338,738
logistic_regression/v3_evidence_only/identity,model,logistic_regression,v3_evidence_only,identity,balanced,0.45,22,0.7950581206571855,0.8246962749096151,0.7950581206571855,0.8246962749096151,0.7364620938628159,0.41696750902527074,0.7186147186147186,0.21172638436482086,0.32793522267206476,0.7882736156351792,0.6720647773279352,65,81,242,231,0.7203237410071942,0.41636690647482016,0.7278617710583153,0.2135593220338983,0.3544061302681992,0.7864406779661017,0.6455938697318008,126,185,464,463
logistic_regression/v3_evidence_only/identity,model,logistic_regression,v3_evidence_only,identity,reliable@cov85,0.85,22,0.7950581206571855,0.8246962749096151,0.7950581206571855,0.8246962749096151,0.5685920577617328,0.8628158844765343,0.5083682008368201,0.7654723127035831,0.016194331983805668,0.23452768729641693,0.9838056680161943,235,4,72,478,0.5863309352517986,0.8705035971223022,0.5320247933884298,0.7677966101694915,0.013409961685823755,0.23220338983050848,0.9865900383141762,453,7,137,968
