method,link_alpha,link_position_penalty,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,mean_linked_doc_count_topk,questions_with_no_hits
firsthop_bm25,0.0,0.0,train,5,5183,1556,3627,0.30021223229789695,0.544472313332047,0.592513988037816,0.0,0
firsthop_bm25,0.0,0.0,train,10,5183,1969,3214,0.37989581323557786,0.5986880185220914,0.6476943854910283,0.0,0
firsthop_bm25,0.0,0.0,train,20,5183,2342,2841,0.45186185606791435,0.6467296932278603,0.6967972216862821,0.0,0
firsthop_bm25,0.0,0.0,train,50,5183,2756,2427,0.5317383754582288,0.7024889060389735,0.7475400347289215,0.0,0
firsthop_bm25,0.0,0.0,valid,5,1110,324,786,0.2918918918918919,0.5252252252252252,0.5788288288288288,0.0,0
firsthop_bm25,0.0,0.0,valid,10,1110,410,700,0.36936936936936937,0.5783783783783784,0.6337837837837837,0.0,0
firsthop_bm25,0.0,0.0,valid,20,1110,472,638,0.4252252252252252,0.6360360360360361,0.6752252252252252,0.0,0
firsthop_bm25,0.0,0.0,valid,50,1110,569,541,0.5126126126126126,0.6936936936936937,0.7342342342342343,0.0,0
firsthop_bm25,0.0,0.0,test,5,1112,361,751,0.32464028776978415,0.5512589928057554,0.5971223021582733,0.0,0
firsthop_bm25,0.0,0.0,test,10,1112,445,667,0.4001798561151079,0.6052158273381295,0.6555755395683454,0.0,0
firsthop_bm25,0.0,0.0,test,20,1112,530,582,0.4766187050359712,0.6600719424460432,0.7090827338129496,0.0,0
firsthop_bm25,0.0,0.0,test,50,1112,626,486,0.5629496402877698,0.7176258992805755,0.7612410071942446,0.0,0
firsthop_bm25,0.0,0.0,all,5,7405,2241,5164,0.3026333558406482,0.5426063470627954,0.5911546252532073,0.0,0
firsthop_bm25,0.0,0.0,all,10,7405,2824,4581,0.38136394328156653,0.5966239027683997,0.6467927076299798,0.0,0
firsthop_bm25,0.0,0.0,all,20,7405,3344,4061,0.45158676569885214,0.6471303173531398,0.6954085077650236,0.0,0
firsthop_bm25,0.0,0.0,all,50,7405,3951,3454,0.5335584064821067,0.7034436191762323,0.7476029709655638,0.0,0
link_bridge_a0p70_p0p00,0.7,0.0,train,5,5183,2306,2877,0.4449160717731044,0.6644800308701524,0.6649623770017364,1.349218599266834,0
link_bridge_a0p70_p0p00,0.7,0.0,train,10,5183,3131,2052,0.6040902951958326,0.7667374107659657,0.7603704418290566,2.9239822496623575,0
link_bridge_a0p70_p0p00,0.7,0.0,train,20,5183,3696,1487,0.7131005209338221,0.8280918387034536,0.8282847771560872,4.910283619525371,0
link_bridge_a0p70_p0p00,0.7,0.0,train,50,5183,4192,991,0.8087979934400926,0.8799922824618946,0.8866486590777541,8.979548524020837,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,5,1110,484,626,0.436036036036036,0.6495495495495496,0.6513513513513514,1.4576576576576576,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,10,1110,669,441,0.6027027027027027,0.7603603603603604,0.7518018018018018,3.026126126126126,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,20,1110,777,333,0.7,0.8279279279279279,0.8117117117117117,4.827027027027027,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,50,1110,879,231,0.7918918918918919,0.8801801801801802,0.8752252252252253,8.58108108108108,0
link_bridge_a0p70_p0p00,0.7,0.0,test,5,1112,504,608,0.45323741007194246,0.6483812949640287,0.6618705035971223,1.4199640287769784,0
link_bridge_a0p70_p0p00,0.7,0.0,test,10,1112,686,426,0.6169064748201439,0.7517985611510791,0.7630395683453237,3.04226618705036,0
link_bridge_a0p70_p0p00,0.7,0.0,test,20,1112,806,306,0.7248201438848921,0.8210431654676259,0.8327338129496403,4.91546762589928,0
link_bridge_a0p70_p0p00,0.7,0.0,test,50,1112,912,200,0.8201438848920863,0.8803956834532374,0.8907374100719424,8.559352517985612,0
link_bridge_a0p70_p0p00,0.7,0.0,all,5,7405,3294,4111,0.44483457123565157,0.6598244429439568,0.662457798784605,1.3760972316002702,0
link_bridge_a0p70_p0p00,0.7,0.0,all,10,7405,4486,2919,0.6058068872383524,0.763538149898717,0.7594868332207968,2.9570560432140445,0
link_bridge_a0p70_p0p00,0.7,0.0,all,20,7405,5279,2126,0.712896691424713,0.8270087778528021,0.8264686022957461,4.8985820391627275,0
link_bridge_a0p70_p0p00,0.7,0.0,all,50,7405,5983,1422,0.8079675894665767,0.8800810263335584,0.8855503038487509,8.856718433490885,0
link_bridge_a0p70_p0p03,0.7,0.03,train,5,5183,2232,2951,0.43063862627821725,0.6552189851437391,0.6578236542542929,1.3370634767509164,0
link_bridge_a0p70_p0p03,0.7,0.03,train,10,5183,3082,2101,0.5946363110167856,0.7615280725448582,0.7556434497395331,2.8869380667567044,0
link_bridge_a0p70_p0p03,0.7,0.03,train,20,5183,3674,1509,0.7088558749758826,0.8255836388192167,0.8259695157244838,4.827513023345553,0
link_bridge_a0p70_p0p03,0.7,0.03,train,50,5183,4180,1003,0.8064827320084893,0.8784487748408257,0.8853945591356357,8.77715608720818,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,5,1110,472,638,0.4252252252252252,0.6378378378378379,0.6459459459459459,1.4477477477477478,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,10,1110,655,455,0.5900900900900901,0.7549549549549549,0.7454954954954955,2.9891891891891893,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,20,1110,777,333,0.7,0.8279279279279279,0.8121621621621622,4.745945945945946,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,50,1110,876,234,0.7891891891891892,0.8783783783783784,0.8738738738738738,8.381981981981982,0
link_bridge_a0p70_p0p03,0.7,0.03,test,5,1112,482,630,0.43345323741007197,0.6393884892086331,0.6519784172661871,1.3983812949640289,0
link_bridge_a0p70_p0p03,0.7,0.03,test,10,1112,669,443,0.6016187050359713,0.7446043165467626,0.7549460431654677,3.0035971223021583,0
link_bridge_a0p70_p0p03,0.7,0.03,test,20,1112,802,310,0.7212230215827338,0.822841726618705,0.8309352517985612,4.8390287769784175,0
link_bridge_a0p70_p0p03,0.7,0.03,test,50,1112,910,202,0.8183453237410072,0.8785971223021583,0.8898381294964028,8.339028776978417,0
link_bridge_a0p70_p0p03,0.7,0.03,all,5,7405,3186,4219,0.43024983119513843,0.650236326806212,0.6551654287643485,1.362862930452397,0
link_bridge_a0p70_p0p03,0.7,0.03,all,10,7405,4406,2999,0.5950033760972316,0.7580013504388926,0.7540175557056044,2.9197839297771777,0
link_bridge_a0p70_p0p03,0.7,0.03,all,20,7405,5253,2152,0.7093855503038488,0.825523295070898,0.824645509790682,4.817015530047265,0
link_bridge_a0p70_p0p03,0.7,0.03,all,50,7405,5966,1439,0.8056718433490885,0.8784604996623903,0.8843349088453748,8.652126941255908,0
link_bridge_a0p70_p0p06,0.7,0.06,train,5,5183,2199,2984,0.4242716573413081,0.6517460929963341,0.6546401697858383,1.3252942311402662,0
link_bridge_a0p70_p0p06,0.7,0.06,train,10,5183,3060,2123,0.5903916650588462,0.7574763650395524,0.7536175959868802,2.8458421763457458,0
link_bridge_a0p70_p0p06,0.7,0.06,train,20,5183,3661,1522,0.7063476750916458,0.824426008103415,0.8248118850086822,4.7451283040710015,0
link_bridge_a0p70_p0p06,0.7,0.06,train,50,5183,4170,1013,0.8045533474821532,0.8772911441250241,0.8844298668724677,8.584989388385106,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,5,1110,462,648,0.41621621621621624,0.6342342342342342,0.6405405405405405,1.436036036036036,0
