method,link_alpha,link_position_penalty,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,mean_linked_doc_count_topk,questions_with_no_hits,selected_by_valid
link_bridge_a0p70_p0p00,0.7,0.0,valid,5,1110,484,626,0.436036036036036,0.6495495495495496,0.6513513513513514,1.4576576576576576,0,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,10,1110,669,441,0.6027027027027027,0.7603603603603604,0.7518018018018018,3.026126126126126,0,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,20,1110,777,333,0.7,0.8279279279279279,0.8117117117117117,4.827027027027027,0,0
link_bridge_a0p70_p0p00,0.7,0.0,valid,50,1110,879,231,0.7918918918918919,0.8801801801801802,0.8752252252252253,8.58108108108108,0,0
link_bridge_a0p70_p0p00,0.7,0.0,test,5,1112,504,608,0.45323741007194246,0.6483812949640287,0.6618705035971223,1.4199640287769784,0,0
link_bridge_a0p70_p0p00,0.7,0.0,test,10,1112,686,426,0.6169064748201439,0.7517985611510791,0.7630395683453237,3.04226618705036,0,0
link_bridge_a0p70_p0p00,0.7,0.0,test,20,1112,806,306,0.7248201438848921,0.8210431654676259,0.8327338129496403,4.91546762589928,0,0
link_bridge_a0p70_p0p00,0.7,0.0,test,50,1112,912,200,0.8201438848920863,0.8803956834532374,0.8907374100719424,8.559352517985612,0,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,5,1110,472,638,0.4252252252252252,0.6378378378378379,0.6459459459459459,1.4477477477477478,0,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,10,1110,655,455,0.5900900900900901,0.7549549549549549,0.7454954954954955,2.9891891891891893,0,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,20,1110,777,333,0.7,0.8279279279279279,0.8121621621621622,4.745945945945946,0,0
link_bridge_a0p70_p0p03,0.7,0.03,valid,50,1110,876,234,0.7891891891891892,0.8783783783783784,0.8738738738738738,8.381981981981982,0,0
link_bridge_a0p70_p0p03,0.7,0.03,test,5,1112,482,630,0.43345323741007197,0.6393884892086331,0.6519784172661871,1.3983812949640289,0,0
link_bridge_a0p70_p0p03,0.7,0.03,test,10,1112,669,443,0.6016187050359713,0.7446043165467626,0.7549460431654677,3.0035971223021583,0,0
link_bridge_a0p70_p0p03,0.7,0.03,test,20,1112,802,310,0.7212230215827338,0.822841726618705,0.8309352517985612,4.8390287769784175,0,0
link_bridge_a0p70_p0p03,0.7,0.03,test,50,1112,910,202,0.8183453237410072,0.8785971223021583,0.8898381294964028,8.339028776978417,0,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,5,1110,462,648,0.41621621621621624,0.6342342342342342,0.6405405405405405,1.436036036036036,0,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,10,1110,653,457,0.5882882882882883,0.7522522522522522,0.7445945945945946,2.9594594594594597,0,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,20,1110,776,334,0.6990990990990991,0.8261261261261261,0.8117117117117117,4.685585585585586,0,0
link_bridge_a0p70_p0p06,0.7,0.06,valid,50,1110,874,236,0.7873873873873873,0.8783783783783784,0.8729729729729729,8.17927927927928,0,0
link_bridge_a0p70_p0p06,0.7,0.06,test,5,1112,471,641,0.42356115107913667,0.6366906474820144,0.6470323741007195,1.3857913669064748,0,0
link_bridge_a0p70_p0p06,0.7,0.06,test,10,1112,667,445,0.5998201438848921,0.7446043165467626,0.7540467625899281,2.973021582733813,0,0
link_bridge_a0p70_p0p06,0.7,0.06,test,20,1112,802,310,0.7212230215827338,0.8210431654676259,0.8313848920863309,4.767985611510792,0,0
link_bridge_a0p70_p0p06,0.7,0.06,test,50,1112,906,206,0.814748201438849,0.8776978417266187,0.8880395683453237,8.151079136690647,0,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,5,1110,495,615,0.44594594594594594,0.6711711711711712,0.6549549549549549,2.443243243243243,0,1
link_bridge_a0p85_p0p00,0.85,0.0,valid,10,1110,697,413,0.627927927927928,0.7828828828828829,0.7657657657657657,5.031531531531532,0,1
link_bridge_a0p85_p0p00,0.85,0.0,valid,20,1110,826,284,0.7441441441441441,0.845945945945946,0.8346846846846847,9.021621621621621,0,1
link_bridge_a0p85_p0p00,0.85,0.0,valid,50,1110,919,191,0.8279279279279279,0.9009009009009009,0.8905405405405405,19.454954954954953,0,1
link_bridge_a0p85_p0p00,0.85,0.0,test,5,1112,522,590,0.4694244604316547,0.6690647482014388,0.6672661870503597,2.4694244604316546,0,1
link_bridge_a0p85_p0p00,0.85,0.0,test,10,1112,738,374,0.6636690647482014,0.789568345323741,0.7841726618705036,5.08273381294964,0,1
link_bridge_a0p85_p0p00,0.85,0.0,test,20,1112,858,254,0.7715827338129496,0.8525179856115108,0.8525179856115108,8.982014388489208,0,1
link_bridge_a0p85_p0p00,0.85,0.0,test,50,1112,951,161,0.8552158273381295,0.89568345323741,0.9073741007194245,19.514388489208635,0,1
link_bridge_a0p85_p0p03,0.85,0.03,valid,5,1110,477,633,0.4297297297297297,0.6612612612612613,0.6468468468468469,2.4297297297297296,0,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,10,1110,685,425,0.6171171171171171,0.7765765765765765,0.7594594594594595,4.978378378378379,0,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,20,1110,823,287,0.7414414414414414,0.8468468468468469,0.8333333333333334,8.878378378378379,0,0
link_bridge_a0p85_p0p03,0.85,0.03,valid,50,1110,917,193,0.8261261261261261,0.8990990990990991,0.8896396396396397,19.036936936936936,0,0
link_bridge_a0p85_p0p03,0.85,0.03,test,5,1112,496,616,0.4460431654676259,0.6564748201438849,0.6551258992805755,2.45773381294964,0,0
link_bridge_a0p85_p0p03,0.85,0.03,test,10,1112,722,390,0.6492805755395683,0.7877697841726619,0.7769784172661871,5.04046762589928,0,0
link_bridge_a0p85_p0p03,0.85,0.03,test,20,1112,858,254,0.7715827338129496,0.8516187050359713,0.8529676258992805,8.832733812949641,0,0
link_bridge_a0p85_p0p03,0.85,0.03,test,50,1112,951,161,0.8552158273381295,0.8965827338129496,0.9073741007194245,19.10161870503597,0,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,5,1110,462,648,0.41621621621621624,0.6531531531531531,0.6396396396396397,2.4153153153153153,0,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,10,1110,683,427,0.6153153153153154,0.7756756756756756,0.7585585585585586,4.921621621621622,0,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,20,1110,825,285,0.7432432432432432,0.8468468468468469,0.8342342342342343,8.744144144144144,0,0
link_bridge_a0p85_p0p06,0.85,0.06,valid,50,1110,915,195,0.8243243243243243,0.8990990990990991,0.8882882882882883,18.622522522522523,0,0
link_bridge_a0p85_p0p06,0.85,0.06,test,5,1112,490,622,0.44064748201438847,0.6546762589928058,0.6533273381294964,2.4379496402877696,0,0
link_bridge_a0p85_p0p06,0.85,0.06,test,10,1112,718,394,0.64568345323741,0.7868705035971223,0.7751798561151079,4.987410071942446,0,0
link_bridge_a0p85_p0p06,0.85,0.06,test,20,1112,854,258,0.7679856115107914,0.8507194244604317,0.8511690647482014,8.696942446043165,0,0
