split,original_id,source_docs,source_link_count,linked_doc_count,support_titles_in_linked_docs_count,support_titles_in_linked_docs_rate
train,5a70eee85542994082a3e3f0,5,29,0,0,0.0
train,5a70f0a75542994082a3e403,5,18,1,0,0.0
train,5a70f11a5542994082a3e40b,5,39,0,0,0.0
train,5a70f1685542994082a3e40f,5,19,1,0,0.0
train,5a70f4c45542994082a3e437,5,18,0,0,0.0
valid,5a70f0e75542994082a3e408,5,26,0,0,0.0
valid,5a70f39c5542994082a3e429,5,33,2,0,0.0
valid,5a70f4695542994082a3e435,5,30,0,0,0.0
valid,5a7103b35542994082a3e4c0,5,13,0,0,0.0
valid,5a710bb15542994082a3e50d,5,17,0,0,0.0
test,5a71231a5542994082a3e5c4,5,16,1,0,0.0
test,5a7125b95542994082a3e5d5,5,60,0,0,0.0
test,5a7133565542994082a3e65c,5,14,0,0,0.0
test,5a7137dc5542994082a3e68a,5,21,0,0,0.0
test,5a713a5a5542994082a3e6a9,5,18,0,0,0.0
