split,original_id,source_docs,source_link_count,linked_doc_count,support_titles_in_linked_docs_count,support_titles_in_linked_docs_rate
train,5a70eee85542994082a3e3f0,10,76,25,0,0.0
train,5a70f0a75542994082a3e403,10,44,35,1,0.5
train,5a70f11a5542994082a3e40b,10,42,28,1,0.5
train,5a70f1685542994082a3e40f,10,50,29,2,1.0
train,5a70f4c45542994082a3e437,10,35,27,1,0.5
train,5a70f6425542994082a3e44c,10,34,18,0,0.0
train,5a70f9335542994082a3e46a,10,35,28,1,0.5
train,5a70ff335542994082a3e49c,10,49,22,0,0.0
train,5a7100435542994082a3e4a3,10,34,22,0,0.0
train,5a7108fa5542994082a3e4ef,10,47,23,2,1.0
train,5a71095e5542994082a3e4f3,10,57,50,2,1.0
train,5a7109e95542994082a3e4fa,10,61,49,1,0.5
train,5a710a1e5542994082a3e4fd,10,112,63,0,0.0
train,5a710a915542994082a3e504,10,37,29,0,0.0
train,5a71148b5542994082a3e567,10,63,31,2,1.0
train,5a7115475542994082a3e56d,10,32,22,0,0.0
train,5a71166d5542994082a3e576,10,58,38,1,0.5
train,5a7119095542994082a3e589,10,30,23,1,0.5
train,5a7119f75542994082a3e58e,10,44,34,1,0.5
train,5a711bb55542994082a3e597,10,42,22,2,1.0
train,5a711c535542994082a3e59b,10,64,33,1,0.5
train,5a711cb45542994082a3e59f,10,39,19,2,1.0
train,5a711ef85542994082a3e5ac,10,43,33,0,0.0
train,5a71278c5542994082a3e5e2,10,57,46,1,0.5
train,5a7128b05542994082a3e5f2,10,45,31,0,0.0
train,5a7129685542994082a3e5fa,10,38,12,0,0.0
train,5a71299e5542994082a3e5fe,10,43,38,1,0.5
train,5a712af15542994082a3e614,10,42,35,1,0.5
train,5a712beb5542994082a3e61c,10,0,0,0,0.0
train,5a712c4b5542994082a3e622,10,51,27,1,0.5
train,5a712e895542994082a3e636,10,56,39,1,0.5
train,5a712fca5542994082a3e641,10,27,17,2,1.0
train,5a7130365542994082a3e645,10,85,39,2,1.0
train,5a7131565542994082a3e64f,10,76,46,1,0.5
train,5a7133fa5542994082a3e660,10,60,26,1,0.5
train,5a7136e25542994082a3e67e,10,44,30,0,0.0
train,5a71380c5542994082a3e68b,10,40,24,1,0.5
train,5a713ea95542994082a3e6e4,10,29,17,1,0.5
train,5a713f3c5542994082a3e6eb,10,53,20,1,0.5
train,5a7140585542994082a3e6fa,10,37,27,0,0.0
train,5a71419f5542994082a3e70d,10,52,35,1,0.5
train,5a71446b5542994082a3e72a,10,29,17,1,0.5
train,5a7145d55542994082a3e73c,10,45,33,1,0.5
train,5a7147fd5542994082a3e758,10,36,23,0,0.0
train,5a7148005542994082a3e759,10,47,27,0,0.0
train,5a7148d25542994082a3e766,10,62,43,1,0.5
train,5a7149595542994082a3e76f,10,45,33,1,0.5
train,5a7149cf5542994082a3e773,10,24,19,2,1.0
train,5a714de95542994082a3e7a8,10,64,27,1,0.5
train,5a714f6f5542994082a3e7b3,10,37,28,1,0.5
train,5a7150c75542994082a3e7be,10,71,38,1,0.5
train,5a7166395542994082a3e814,10,53,38,1,0.5
train,5a71674f5542994082a3e819,10,35,23,2,1.0
train,5a716a9b5542994082a3e821,10,63,49,2,1.0
train,5a716dc15542994082a3e82b,10,50,36,1,0.5
train,5a716ec85542994082a3e82d,10,49,38,2,1.0
train,5a7172105542994082a3e837,10,59,48,0,0.0
train,5a717d4c5542994082a3e854,10,46,29,0,0.0
train,5a7180205542994082a3e856,10,57,32,1,0.5
train,5a7183575542994082a3e85e,10,64,39,1,0.5
train,5a7184675542994082a3e864,10,80,31,1,0.5
train,5a7195a05542994082a3e881,10,47,20,1,0.5
train,5a7199725542994082a3e88f,10,23,20,0,0.0
train,5a719bf25542994082a3e891,10,81,59,1,0.5
train,5a7211e655429971e9dc923c,10,63,44,1,0.5
train,5a72120e55429971e9dc923f,10,60,15,0,0.0
train,5a72125055429971e9dc9241,10,58,37,1,0.5
train,5a72160e55429971e9dc9253,10,32,23,1,0.5
train,5a7217f255429971e9dc9260,10,45,27,1,0.5
train,5a721b9055429971e9dc9277,10,62,33,2,1.0
train,5a721bbc55429971e9dc9279,10,59,46,0,0.0
train,5a721d5a55429971e9dc9283,10,42,21,1,0.5
train,5a721dfd55429971e9dc928b,10,63,26,2,1.0
train,5a7220f055429971e9dc92ac,10,64,37,2,1.0
train,5a72224755429971e9dc92be,10,45,26,2,1.0
train,5a7222b155429971e9dc92c4,10,68,51,2,1.0
train,5a72239a55429971e9dc92cf,10,56,31,1,0.5
train,5a7224ab55429971e9dc92dd,10,49,42,2,1.0
train,5a722b8655429971e9dc9329,10,44,28,2,1.0
train,5a722fae55429971e9dc9343,10,30,27,2,1.0
train,5a72334755429971e9dc934c,10,48,18,1,0.5
train,5a72339855429971e9dc934d,10,61,47,1,0.5
train,5a7243915542990c210a4086,10,26,12,1,0.5
train,5a7244955542990c210a408a,10,44,30,1,0.5
train,5a7248665542990c210a40b1,10,39,22,1,0.5
train,5a724a2b5542990c210a40bc,10,50,40,1,0.5
train,5a724ba25542990c210a40c7,10,41,32,1,0.5
train,5a724dc25542990c210a40df,10,52,32,0,0.0
train,5a7252db5542990c210a4104,10,33,20,2,1.0
train,5a7261635542997f8278398a,10,33,21,1,0.5
train,5a72634d5542997f82783994,10,44,26,1,0.5
train,5a72644b5542997f8278399a,10,46,20,2,1.0
train,5a7265825542997f827839a3,10,152,72,1,0.5
train,5a7265a95542992359bc307a,10,51,19,1,0.5
train,5a7268235542992359bc3081,10,47,24,0,0.0
train,5a7269fa5542992359bc308d,10,30,22,2,1.0
train,5a726b0f5542997f827839be,10,32,19,1,0.5
train,5a726ba35542997f827839c0,10,79,43,1,0.5
train,5a7270395542992359bc30a8,10,41,23,1,0.5
train,5a7271525542997f827839d0,10,88,63,2,1.0
train,5a727a635542994cef4bc2c9,10,54,40,1,0.5
train,5a7280105542994cef4bc2e4,10,51,24,1,0.5
train,5a7280925542991f9a20c4a1,10,35,26,0,0.0
train,5a7281075542994cef4bc2e9,10,50,31,1,0.5
train,5a72814f5542994cef4bc2eb,10,26,19,0,0.0
train,5a7283355542991f9a20c4b1,10,62,35,1,0.5
train,5a7283365542991f9a20c4b2,10,28,21,1,0.5
train,5a7286865542991f9a20c4cb,10,45,38,2,1.0
train,5a728dc65542992359bc30ef,10,47,30,1,0.5
train,5a728f505542992359bc30f5,10,48,27,1,0.5
train,5a72908f5542994cef4bc33b,10,38,22,1,0.5
train,5a7291c35542991f9a20c4f4,10,112,79,2,1.0
train,5a7292385542994cef4bc342,10,84,61,1,0.5
train,5a7293655542991f9a20c4ff,10,42,32,1,0.5
train,5a72944c5542994cef4bc351,10,66,41,2,1.0
train,5a7296815542991f9a20c515,10,52,38,1,0.5
train,5a7299465542992359bc3131,10,70,47,2,1.0
train,5a729fa15542994cef4bc397,10,35,26,1,0.5
train,5a72a0be5542992359bc3143,10,44,35,1,0.5
train,5a72a2935542991f9a20c546,10,55,35,0,0.0
train,5a72a4645542991f9a20c54c,10,39,22,1,0.5
train,5a72a47d55429901807daf1f,10,50,37,2,1.0
train,5a72a51355429901807daf21,10,37,27,1,0.5
train,5a72a6d855429901807daf27,10,81,53,1,0.5
train,5a72a9ab5542992359bc315a,10,55,43,1,0.5
train,5a72a9ac5542991f9a20c55f,10,64,39,1,0.5
train,5a72ac8a5542992359bc3164,10,60,47,1,0.5
train,5a72aec45542994cef4bc3d7,10,25,19,2,1.0
train,5a72af155542992359bc316c,10,31,21,0,0.0
train,5a72b2dc5542992359bc3173,10,69,47,1,0.5
train,5a72b8de5542994cef4bc3df,10,34,28,1,0.5
train,5a72ba1a5542992359bc318b,10,105,65,1,0.5
train,5a72bb045542994cef4bc3e4,10,57,40,1,0.5
train,5a72bbfa5542992359bc318d,10,72,41,1,0.5
train,5a72bd0b5542992359bc318f,10,38,33,1,0.5
train,5a72c6565542992359bc31a7,10,88,44,1,0.5
train,5a72c6f65542994cef4bc402,10,71,48,1,0.5
train,5a72c9e85542991f9a20c595,10,31,20,2,1.0
train,5a72d3525542991f9a20c5ab,10,43,33,1,0.5
train,5a72d7b35542991f9a20c5be,10,47,32,2,1.0
train,5a72df275542992359bc31b3,10,49,22,1,0.5
train,5a72df8d5542992359bc31b4,10,52,44,1,0.5
train,5a72f0e25542991f9a20c5cf,10,45,23,1,0.5
train,5a72f3a85542992359bc31e5,10,50,23,1,0.5
train,5a72f45a5542992359bc31e6,10,88,32,1,0.5
train,5a72f7df5542991f9a20c5d7,10,29,21,1,0.5
train,5a72fc865542991f9a20c5e9,10,32,17,1,0.5
train,5a7302b75542991f9a20c5fd,10,46,37,2,1.0
train,5a7306a655429901807daf67,10,34,28,0,0.0
train,5a73073d55429901807daf69,10,25,9,1,0.5
train,5a7309a15542992359bc320c,10,47,23,2,1.0
train,5a730a6b5542992359bc3210,10,34,19,0,0.0
train,5a730abe5542994cef4bc42f,10,47,32,0,0.0
train,5a7312675542994cef4bc43d,10,44,28,2,1.0
train,5a7319bc5542992359bc3235,10,43,31,1,0.5
train,5a731c205542994cef4bc45d,10,42,31,0,0.0
train,5a7320565542991f9a20c61d,10,41,27,1,0.5
train,5a7320ac5542991f9a20c620,10,38,24,0,0.0
train,5a7322165542994cef4bc470,10,71,43,1,0.5
train,5a7322a25542991f9a20c634,10,62,28,0,0.0
train,5a73235c5542994cef4bc475,10,46,38,0,0.0
train,5a7323ad5542994cef4bc476,10,26,23,1,0.5
train,5a7323ef5542994cef4bc477,10,55,37,1,0.5
train,5a7324205542994cef4bc478,10,33,22,1,0.5
train,5a7324e055429901807daf8f,10,53,24,1,0.5
train,5a73250a5542991f9a20c643,10,41,29,1,0.5
train,5a73266d5542994cef4bc47d,10,34,28,0,0.0
train,5a7326cd5542991f29ee2d11,10,70,38,2,1.0
train,5a7327265542994cef4bc480,10,36,28,1,0.5
train,5a7329a15542991f9a20c65f,10,53,38,1,0.5
train,5a732aa055429901807daf9f,10,53,41,1,0.5
train,5a732aaa5542992359bc325a,10,42,28,1,0.5
train,5a732ca45542992359bc325d,10,44,18,0,0.0
train,5a7331705542991f9a20c67a,10,46,28,1,0.5
train,5a7331de5542994cef4bc4a8,10,56,35,1,0.5
train,5a7332935542991f9a20c67d,10,58,23,1,0.5
train,5a73354f5542991f9a20c687,10,32,26,1,0.5
train,5a7335b55542992359bc3290,10,34,26,0,0.0
train,5a7336bd5542991f9a20c68c,10,40,26,2,1.0
train,5a7336d05542992359bc3293,10,54,40,1,0.5
train,5a7337715542991f9a20c690,10,55,38,1,0.5
train,5a7339c85542991f9a20c6a2,10,59,33,1,0.5
train,5a733b835542991f9a20c6b2,10,43,27,0,0.0
train,5a733caa5542992359bc32a3,10,50,32,0,0.0
train,5a733d5d5542991f29ee2d71,10,25,23,0,0.0
train,5a7345185542992359bc32cb,10,29,21,0,0.0
train,5a7345ed5542992359bc32ce,10,53,31,0,0.0
train,5a73471a5542991f9a20c6d7,10,32,14,1,0.5
train,5a7348555542994cef4bc503,10,38,23,1,0.5
train,5a7349125542994cef4bc505,10,47,31,0,0.0
train,5a734a205542992359bc32e2,10,40,28,2,1.0
train,5a734acf5542991f9a20c6ec,10,37,27,2,1.0
train,5a734bb65542994cef4bc50f,10,42,26,2,1.0
train,5a734ca85542994cef4bc51b,10,58,39,1,0.5
train,5a734dad5542994cef4bc522,10,57,34,1,0.5
train,5a734db15542994cef4bc523,10,39,25,0,0.0
train,5a734e6d5542994cef4bc528,10,74,45,1,0.5
train,5a734f4455429901807dafba,10,62,41,1,0.5
train,5a7350d55542994cef4bc535,10,81,53,2,1.0
train,5a73520c5542994cef4bc53f,10,35,22,0,0.0
train,5a7353795542991f29ee2d82,10,48,35,1,0.5
train,5a7354e35542994cef4bc55b,10,44,30,1,0.5
train,5a73551e5542991f29ee2d84,10,38,26,2,1.0
train,5a73583455429901807dafcf,10,83,43,2,1.0
train,5a735bae55429901807dafef,10,31,23,1,0.5
train,5a735c3a55429901807daff7,10,64,45,2,1.0
train,5a735e9155429901807db00d,10,53,38,0,0.0
train,5a7360235542991f29ee2dc7,10,23,17,1,0.5
train,5a73630655429901807db020,10,45,29,1,0.5
train,5a7363465542991f29ee2dd5,10,27,15,1,0.5
train,5a7369da55429901807db037,10,47,35,2,1.0
train,5a736aa95542991f29ee2dfa,10,45,14,1,0.5
train,5a736e0155429901807db04f,10,25,23,1,0.5
train,5a736f7c5542991f29ee2e18,10,36,27,1,0.5
train,5a737d3c55429908901be2c8,10,30,26,2,1.0
train,5a737dc455429908901be2c9,10,53,26,2,1.0
train,5a737e4655429908901be2cc,10,60,30,1,0.5
train,5a737ef85542992d56e7e336,10,52,41,1,0.5
train,5a737fff554299623ed4abb9,10,45,25,1,0.5
train,5a7380e055429908901be2d6,10,40,24,0,0.0
train,5a73830d55429908901be2da,10,33,20,0,0.0
train,5a7384755542992d56e7e354,10,34,21,1,0.5
train,5a7385c45542992d56e7e359,10,33,24,2,1.0
train,5a738a5955429908901be2f6,10,44,25,1,0.5
train,5a738b855542992d56e7e363,10,43,31,1,0.5
train,5a738bd0554299623ed4abee,10,43,23,1,0.5
train,5a738d27554299623ed4abf3,10,49,34,1,0.5
train,5a738fe855429908901be2fb,10,38,33,1,0.5
train,5a7391b655429978a71e902c,10,33,23,0,0.0
train,5a739323554299623ed4abff,10,58,38,0,0.0
train,5a73977d554299623ed4ac08,10,42,33,1,0.5
train,5a73984355429908901be307,10,54,41,1,0.5
train,5a73987c55429978a71e9039,10,39,27,0,0.0
train,5a739b1955429978a71e9044,10,32,26,1,0.5
train,5a739d8755429978a71e9048,10,60,45,0,0.0
train,5a73a7c755429978a71e9068,10,92,54,2,1.0
train,5a73ae3b55429978a71e907c,10,88,61,1,0.5
train,5a73b0975542992d56e7e387,10,82,65,1,0.5
train,5a73b2cb55429908901be31a,10,36,15,1,0.5
train,5a73b2fd55429978a71e907f,10,74,61,2,1.0
train,5a73bddb55429978a71e909d,10,89,47,1,0.5
train,5a73cad5554299623ed4ac5e,10,75,56,1,0.5
train,5a73cf5e55429978a71e909f,10,54,32,1,0.5
train,5a73d33e5542992d56e7e3a9,10,31,29,1,0.5
train,5a73d4385542992d56e7e3b1,10,23,16,1,0.5
train,5a73d951554299623ed4ac77,10,39,32,1,0.5
train,5a73f2035542993a88ae2ea8,10,55,26,2,1.0
train,5a73f4f75542993a88ae2ebc,10,39,34,1,0.5
