method,link_alpha,link_position_penalty,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,answer_present_in_returned_docs_rate,mean_support_title_coverage,mean_linked_doc_count_topk,questions_with_no_hits
firsthop_bm25,0.0,0.0,train,5,5183,1556,3627,0.30021223229789695,0.544472313332047,0.592513988037816,0.0,0
firsthop_bm25,0.0,0.0,train,10,5183,1969,3214,0.37989581323557786,0.5986880185220914,0.6476943854910283,0.0,0
firsthop_bm25,0.0,0.0,train,20,5183,2342,2841,0.45186185606791435,0.6467296932278603,0.6967972216862821,0.0,0
firsthop_bm25,0.0,0.0,valid,5,1110,324,786,0.2918918918918919,0.5252252252252252,0.5788288288288288,0.0,0
firsthop_bm25,0.0,0.0,valid,10,1110,410,700,0.36936936936936937,0.5783783783783784,0.6337837837837837,0.0,0
firsthop_bm25,0.0,0.0,valid,20,1110,472,638,0.4252252252252252,0.6360360360360361,0.6752252252252252,0.0,0
firsthop_bm25,0.0,0.0,test,5,1112,361,751,0.32464028776978415,0.5512589928057554,0.5971223021582733,0.0,0
firsthop_bm25,0.0,0.0,test,10,1112,445,667,0.4001798561151079,0.6052158273381295,0.6555755395683454,0.0,0
firsthop_bm25,0.0,0.0,test,20,1112,530,582,0.4766187050359712,0.6600719424460432,0.7090827338129496,0.0,0
firsthop_bm25,0.0,0.0,all,5,7405,2241,5164,0.3026333558406482,0.5426063470627954,0.5911546252532073,0.0,0
firsthop_bm25,0.0,0.0,all,10,7405,2824,4581,0.38136394328156653,0.5966239027683997,0.6467927076299798,0.0,0
firsthop_bm25,0.0,0.0,all,20,7405,3344,4061,0.45158676569885214,0.6471303173531398,0.6954085077650236,0.0,0
link_bridge_a0p85_p0p00,0.85,0.0,train,5,5183,2464,2719,0.47540034728921476,0.6955431217441637,0.6776963148755547,2.4528265483310823,0
link_bridge_a0p85_p0p00,0.85,0.0,train,10,5183,3390,1793,0.6540613544279374,0.7995369477136793,0.7819795485240209,5.095504534053637,0
link_bridge_a0p85_p0p00,0.85,0.0,train,20,5183,3962,1221,0.7644221493343624,0.8605054987459001,0.8524985529616053,9.236156666023538,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,5,1110,495,615,0.44594594594594594,0.6711711711711712,0.6549549549549549,2.443243243243243,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,10,1110,697,413,0.627927927927928,0.7828828828828829,0.7657657657657657,5.031531531531532,0
link_bridge_a0p85_p0p00,0.85,0.0,valid,20,1110,826,284,0.7441441441441441,0.845945945945946,0.8346846846846847,9.021621621621621,0
link_bridge_a0p85_p0p00,0.85,0.0,test,5,1112,522,590,0.4694244604316547,0.6690647482014388,0.6672661870503597,2.4694244604316546,0
link_bridge_a0p85_p0p00,0.85,0.0,test,10,1112,738,374,0.6636690647482014,0.789568345323741,0.7841726618705036,5.08273381294964,0
link_bridge_a0p85_p0p00,0.85,0.0,test,20,1112,858,254,0.7715827338129496,0.8525179856115108,0.8525179856115108,8.982014388489208,0
link_bridge_a0p85_p0p00,0.85,0.0,all,5,7405,3481,3924,0.4700877785280216,0.687913571910871,0.6727211343686699,2.45388251181634,0
link_bridge_a0p85_p0p00,0.85,0.0,all,10,7405,4825,2580,0.6515867656988521,0.7955435516542877,0.7798784604996624,5.083997299122215,0
link_bridge_a0p85_p0p00,0.85,0.0,all,20,7405,5646,1759,0.762457798784605,0.8571235651586766,0.84983119513842,9.165833896016204,0
