selection_key,method_name,policy,target_k,metric,point,ci_low,ci_high,bootstrap_iters
always_answer_top5,always_answer_top5,always_answer,5,coverage,1.0,1.0,1.0,1000
always_answer_top5,always_answer_top5,always_answer,5,selective_accuracy,0.4694244604316547,0.4397482014388489,0.4982014388489209,1000
always_answer_top5,always_answer_top5,always_answer,5,insufficient_answer_rate,1.0,1.0,1.0,1000
always_answer_top5,always_answer_top5,always_answer,5,sufficient_abstain_rate,0.0,0.0,0.0,1000
always_answer_top5,always_answer_top5,always_answer,5,retrieval_rate,0.0,0.0,0.0,1000
always_answer_top10,always_answer_top10,always_answer,10,coverage,1.0,1.0,1.0,1000
always_answer_top10,always_answer_top10,always_answer,10,selective_accuracy,0.6636690647482014,0.6357913669064749,0.6924460431654677,1000
always_answer_top10,always_answer_top10,always_answer,10,insufficient_answer_rate,1.0,1.0,1.0,1000
always_answer_top10,always_answer_top10,always_answer,10,sufficient_abstain_rate,0.0,0.0,0.0,1000
always_answer_top10,always_answer_top10,always_answer,10,retrieval_rate,1.0,1.0,1.0,1000
always_answer_top20,always_answer_top20,always_answer,20,coverage,1.0,1.0,1.0,1000
always_answer_top20,always_answer_top20,always_answer,20,selective_accuracy,0.7715827338129496,0.7472796762589928,0.7967625899280576,1000
always_answer_top20,always_answer_top20,always_answer,20,insufficient_answer_rate,1.0,1.0,1.0,1000
always_answer_top20,always_answer_top20,always_answer,20,sufficient_abstain_rate,0.0,0.0,0.0,1000
always_answer_top20,always_answer_top20,always_answer,20,retrieval_rate,1.0,1.0,1.0,1000
top5/logistic_regression/v3_all/platt::balanced,top5/logistic_regression/v3_all/platt,balanced,5,coverage,0.3920863309352518,0.36241007194244607,0.4181654676258993,1000
top5/logistic_regression/v3_all/platt::balanced,top5/logistic_regression/v3_all/platt,balanced,5,selective_accuracy,0.8096330275229358,0.7722761538626748,0.8458221446473326,1000
top5/logistic_regression/v3_all/platt::balanced,top5/logistic_regression/v3_all/platt,balanced,5,insufficient_answer_rate,0.14067796610169492,0.11370374457441329,0.16889805097451274,1000
top5/logistic_regression/v3_all/platt::balanced,top5/logistic_regression/v3_all/platt,balanced,5,sufficient_abstain_rate,0.32375478927203066,0.28598162873594735,0.3640097853074339,1000
top5/logistic_regression/v3_all/platt::balanced,top5/logistic_regression/v3_all/platt,balanced,5,retrieval_rate,0.0,0.0,0.0,1000
top20/logistic_regression/v3_no_query/isotonic::retrieve_more_balanced,top20/logistic_regression/v3_no_query/isotonic,retrieve_more_balanced,20,coverage,0.8156474820143885,0.7931429856115108,0.8381294964028777,1000
top20/logistic_regression/v3_no_query/isotonic::retrieve_more_balanced,top20/logistic_regression/v3_no_query/isotonic,retrieve_more_balanced,20,selective_accuracy,0.8743109151047409,0.8525292108412361,0.8947966138226792,1000
top20/logistic_regression/v3_no_query/isotonic::retrieve_more_balanced,top20/logistic_regression/v3_no_query/isotonic,retrieve_more_balanced,20,insufficient_answer_rate,0.44015444015444016,0.37943017127799733,0.5039154313568376,1000
top20/logistic_regression/v3_no_query/isotonic::retrieve_more_balanced,top20/logistic_regression/v3_no_query/isotonic,retrieve_more_balanced,20,sufficient_abstain_rate,0.07033997655334115,0.053569836079497196,0.08920242194767679,1000
top20/logistic_regression/v3_no_query/isotonic::retrieve_more_balanced,top20/logistic_regression/v3_no_query/isotonic,retrieve_more_balanced,20,retrieval_rate,0.8983812949640287,0.8812949640287769,0.915490107913669,1000
top10/logistic_regression/v3_no_query/identity::retrieve_more_risk_control@suff_abstain15,top10/logistic_regression/v3_no_query/identity,retrieve_more_risk_control@suff_abstain15,10,coverage,0.6420863309352518,0.612410071942446,0.670863309352518,1000
top10/logistic_regression/v3_no_query/identity::retrieve_more_risk_control@suff_abstain15,top10/logistic_regression/v3_no_query/identity,retrieve_more_risk_control@suff_abstain15,10,selective_accuracy,0.8473389355742297,0.8210278318051311,0.8738167506180182,1000
top10/logistic_regression/v3_no_query/identity::retrieve_more_risk_control@suff_abstain15,top10/logistic_regression/v3_no_query/identity,retrieve_more_risk_control@suff_abstain15,10,insufficient_answer_rate,0.28835978835978837,0.2442433579257111,0.33156700130947186,1000
top10/logistic_regression/v3_no_query/identity::retrieve_more_risk_control@suff_abstain15,top10/logistic_regression/v3_no_query/identity,retrieve_more_risk_control@suff_abstain15,10,sufficient_abstain_rate,0.17574931880108993,0.14813474835182505,0.20538392977587636,1000
top10/logistic_regression/v3_no_query/identity::retrieve_more_risk_control@suff_abstain15,top10/logistic_regression/v3_no_query/identity,retrieve_more_risk_control@suff_abstain15,10,retrieval_rate,0.9118705035971223,0.8947841726618705,0.927158273381295,1000
top20/logistic_regression/v3_all/identity::retrieve_more@cov85,top20/logistic_regression/v3_all/identity,retrieve_more@cov85,20,coverage,0.8723021582733813,0.8534172661870504,0.8902877697841727,1000
top20/logistic_regression/v3_all/identity::retrieve_more@cov85,top20/logistic_regression/v3_all/identity,retrieve_more@cov85,20,selective_accuracy,0.8463917525773196,0.8238807599912644,0.867752200633917,1000
top20/logistic_regression/v3_all/identity::retrieve_more@cov85,top20/logistic_regression/v3_all/identity,retrieve_more@cov85,20,insufficient_answer_rate,0.5708812260536399,0.5111940298507462,0.6295635905069047,1000
top20/logistic_regression/v3_all/identity::retrieve_more@cov85,top20/logistic_regression/v3_all/identity,retrieve_more@cov85,20,sufficient_abstain_rate,0.03525264394829612,0.0236092865734351,0.04822119799074591,1000
top20/logistic_regression/v3_all/identity::retrieve_more@cov85,top20/logistic_regression/v3_all/identity,retrieve_more@cov85,20,retrieval_rate,0.8453237410071942,0.8246402877697842,0.8669289568345324,1000
