selection_key,method_name,action_type,feature_set,calibration,policy,target_k,tau_answer_top5,tau_answer_after_more,n_features,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,valid_retrieval_rate,valid_mean_added_docs,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count,test_retrieval_rate,test_mean_added_docs
always_answer_top5,always_answer_top5,always_answer,none,none,always_answer,5,,,0,0.44584837545126355,1.0,0.44584837545126355,1.0,0.0,0.0,1.0,307,0,0,554,0.0,0.0,0.4694244604316547,1.0,0.4694244604316547,1.0,0.0,0.0,1.0,590,0,0,1112,0.0,0.0
always_answer_top10,always_answer_top10,always_answer,none,none,always_answer,10,,,0,0.628158844765343,1.0,0.628158844765343,1.0,0.0,0.0,1.0,206,0,0,554,1.0,5.0,0.6636690647482014,1.0,0.6636690647482014,1.0,0.0,0.0,1.0,374,0,0,1112,1.0,5.0
always_answer_top20,always_answer_top20,always_answer,none,none,always_answer,20,,,0,0.7292418772563177,1.0,0.7292418772563177,1.0,0.0,0.0,1.0,150,0,0,554,1.0,15.0,0.7715827338129496,1.0,0.7715827338129496,1.0,0.0,0.0,1.0,254,0,0,1112,1.0,15.0
top5/logistic_regression/v3_no_query/identity::balanced,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,balanced,5,0.4,,56,0.7888086642599278,0.37545126353790614,0.8125,0.1270358306188925,0.3157894736842105,0.8729641693811075,0.6842105263157895,39,78,268,208,0.0,0.0,0.7517985611510791,0.3830935251798561,0.7887323943661971,0.15254237288135594,0.3563218390804598,0.847457627118644,0.6436781609195402,90,186,500,426,0.0,0.0
top5/logistic_regression/v3_no_query/identity::reliable@cov85,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,reliable@cov85,5,0.9,,56,0.5848375451263538,0.8537906137184116,0.5179704016913319,0.742671009771987,0.008097165991902834,0.25732899022801303,0.9919028340080972,228,2,79,473,0.0,0.0,0.6061151079136691,0.8561151079136691,0.5441176470588235,0.735593220338983,0.007662835249042145,0.26440677966101694,0.9923371647509579,434,4,156,952,0.0,0.0
top5/logistic_regression/v3_no_query/identity::risk_control@suff_abstain15,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,risk_control@suff_abstain15,5,0.65,,56,0.7490974729241877,0.5740072202166066,0.6698113207547169,0.34201954397394135,0.13765182186234817,0.6579804560260586,0.8623481781376519,105,34,202,318,0.0,0.0,0.7526978417266187,0.5980215827338129,0.6857142857142857,0.35423728813559324,0.12643678160919541,0.6457627118644068,0.8735632183908046,209,66,381,665,0.0,0.0
top5/logistic_regression/v3_no_query/identity::high_precision@cov50,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,high_precision@cov50,5,0.6,,56,0.7671480144404332,0.5415162454873647,0.6966666666666667,0.2964169381107492,0.15384615384615385,0.7035830618892508,0.8461538461538461,91,38,216,300,0.0,0.0,0.7589928057553957,0.5539568345323741,0.7061688311688312,0.30677966101694915,0.16666666666666666,0.6932203389830508,0.8333333333333334,181,87,409,616,0.0,0.0
top5/logistic_regression/v3_no_query/platt::balanced,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,balanced,5,0.45,,56,0.7888086642599278,0.37545126353790614,0.8125,0.1270358306188925,0.3157894736842105,0.8729641693811075,0.6842105263157895,39,78,268,208,0.0,0.0,0.7526978417266187,0.3893884892086331,0.7852193995381063,0.1576271186440678,0.3486590038314176,0.8423728813559322,0.6513409961685823,93,182,497,433,0.0,0.0
top5/logistic_regression/v3_no_query/platt::reliable@cov85,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,reliable@cov85,5,0.9,,56,0.555956678700361,0.8862815884476535,0.5010183299389002,0.7980456026058632,0.004048582995951417,0.20195439739413681,0.9959514170040485,245,1,62,491,0.0,0.0,0.5926258992805755,0.875,0.5354573484069887,0.7661016949152543,0.0019157088122605363,0.23389830508474577,0.9980842911877394,452,1,138,973,0.0,0.0
top5/logistic_regression/v3_no_query/platt::risk_control@suff_abstain15,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,risk_control@suff_abstain15,5,0.7,,56,0.7563176895306859,0.5595667870036101,0.6806451612903226,0.32247557003257327,0.145748987854251,0.6775244299674267,0.854251012145749,99,36,208,310,0.0,0.0,0.7526978417266187,0.5872302158273381,0.6891271056661562,0.3440677966101695,0.13793103448275862,0.6559322033898305,0.8620689655172413,203,72,387,653,0.0,0.0
top5/logistic_regression/v3_no_query/platt::high_precision@cov50,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,high_precision@cov50,5,0.65,,56,0.7743682310469314,0.5306859205776173,0.7074829931972789,0.28013029315960913,0.15789473684210525,0.7198697068403909,0.8421052631578947,86,39,221,294,0.0,0.0,0.7652877697841727,0.5404676258992805,0.7171381031613977,0.288135593220339,0.1743295019157088,0.711864406779661,0.8256704980842912,170,91,420,601,0.0,0.0
