row_type,comparison,top_k,seed,delta_left_minus_right,mean_delta,std_delta,min_delta,max_delta,positive_seed_count,n_seeds
seed,rf_vs_gb,5,13,0.026978417266187105,,,,,,
seed,rf_vs_gb,5,21,0.030575539568345356,,,,,,
seed,rf_vs_gb,5,42,0.03147482014388492,,,,,,
seed,rf_vs_gb,5,87,0.03237410071942448,,,,,,
seed,rf_vs_gb,5,100,0.027877697841726667,,,,,,
aggregate,rf_vs_gb,5,,,0.029856115107913705,0.0023277300549540835,0.026978417266187105,0.03237410071942448,5,5
seed,rf_vs_gb,10,13,0.008992805755395739,,,,,,
seed,rf_vs_gb,10,21,0.004496402877697925,,,,,,
seed,rf_vs_gb,10,42,0.003597122302158362,,,,,,
seed,rf_vs_gb,10,87,0.0053956834532374875,,,,,,
seed,rf_vs_gb,10,100,0.003597122302158362,,,,,,
aggregate,rf_vs_gb,10,,,0.005215827338129575,0.002239190575177816,0.003597122302158362,0.008992805755395739,5,5
seed,rf_vs_gb,20,13,0.0,,,,,,
seed,rf_vs_gb,20,21,0.0,,,,,,
seed,rf_vs_gb,20,42,0.0,,,,,,
seed,rf_vs_gb,20,87,0.0,,,,,,
seed,rf_vs_gb,20,100,0.0,,,,,,
aggregate,rf_vs_gb,20,,,0.0,0.0,0.0,0.0,0,5
seed,rf_vs_lr,5,13,0.03147482014388492,,,,,,
seed,rf_vs_lr,5,21,0.03507194244604317,,,,,,
seed,rf_vs_lr,5,42,0.03597122302158273,,,,,,
seed,rf_vs_lr,5,87,0.036870503597122295,,,,,,
seed,rf_vs_lr,5,100,0.03237410071942448,,,,,,
aggregate,rf_vs_lr,5,,,0.03435251798561152,0.0023277300549540835,0.03147482014388492,0.036870503597122295,5,5
seed,rf_vs_lr,10,13,0.008992805755395739,,,,,,
seed,rf_vs_lr,10,21,0.004496402877697925,,,,,,
seed,rf_vs_lr,10,42,0.003597122302158362,,,,,,
seed,rf_vs_lr,10,87,0.0053956834532374875,,,,,,
seed,rf_vs_lr,10,100,0.003597122302158362,,,,,,
aggregate,rf_vs_lr,10,,,0.005215827338129575,0.002239190575177816,0.003597122302158362,0.008992805755395739,5,5
seed,rf_vs_lr,20,13,0.0,,,,,,
seed,rf_vs_lr,20,21,0.0,,,,,,
seed,rf_vs_lr,20,42,0.0,,,,,,
seed,rf_vs_lr,20,87,0.0,,,,,,
seed,rf_vs_lr,20,100,0.0,,,,,,
aggregate,rf_vs_lr,20,,,0.0,0.0,0.0,0.0,0,5
seed,gb_vs_lr,5,13,0.004496402877697814,,,,,,
seed,gb_vs_lr,5,21,0.004496402877697814,,,,,,
seed,gb_vs_lr,5,42,0.004496402877697814,,,,,,
seed,gb_vs_lr,5,87,0.004496402877697814,,,,,,
seed,gb_vs_lr,5,100,0.004496402877697814,,,,,,
aggregate,gb_vs_lr,5,,,0.004496402877697814,0.0,0.004496402877697814,0.004496402877697814,5,5
seed,gb_vs_lr,10,13,0.0,,,,,,
seed,gb_vs_lr,10,21,0.0,,,,,,
seed,gb_vs_lr,10,42,0.0,,,,,,
seed,gb_vs_lr,10,87,0.0,,,,,,
seed,gb_vs_lr,10,100,0.0,,,,,,
aggregate,gb_vs_lr,10,,,0.0,0.0,0.0,0.0,0,5
seed,gb_vs_lr,20,13,0.0,,,,,,
seed,gb_vs_lr,20,21,0.0,,,,,,
seed,gb_vs_lr,20,42,0.0,,,,,,
seed,gb_vs_lr,20,87,0.0,,,,,,
seed,gb_vs_lr,20,100,0.0,,,,,,
aggregate,gb_vs_lr,20,,,0.0,0.0,0.0,0.0,0,5
