comparison,top_k,estimate_delta,ci95_low,ci95_high,p_delta_le_0,bootstrap_iters,bootstrap_seed
rf_vs_original,5,0.2077338129496403,0.18165467625899281,0.23381294964028776,0.0,5000,20260524
rf_vs_original,10,0.07823741007194245,0.06025179856115108,0.09622302158273381,0.0,5000,20260524
rf_vs_original,20,0.0,0.0,0.0,1.0,5000,20260524
gb_vs_original,5,0.17625899280575538,0.15197841726618705,0.2014388489208633,0.0,5000,20260524
gb_vs_original,10,0.07464028776978417,0.05665467625899281,0.09262589928057553,0.0,5000,20260524
gb_vs_original,20,0.0,0.0,0.0,1.0,5000,20260524
lr_vs_original,5,0.17176258992805754,0.14656025179856116,0.19694244604316546,0.0,5000,20260524
lr_vs_original,10,0.07464028776978417,0.05755395683453238,0.09172661870503597,0.0,5000,20260524
lr_vs_original,20,0.0,0.0,0.0,1.0,5000,20260524
rf_vs_gb,5,0.03147482014388489,0.01618705035971223,0.046762589928057555,0.0,5000,20260524
rf_vs_gb,10,0.0035971223021582736,-0.006294964028776978,0.014388489208633094,0.2768,5000,20260524
rf_vs_gb,20,0.0,0.0,0.0,1.0,5000,20260524
rf_vs_lr,5,0.03597122302158273,0.02158273381294964,0.052158273381294966,0.0,5000,20260524
rf_vs_lr,10,0.0035971223021582736,-0.006294964028776978,0.014388489208633094,0.2746,5000,20260524
rf_vs_lr,20,0.0,0.0,0.0,1.0,5000,20260524
gb_vs_lr,5,0.0044964028776978415,-0.01079136690647482,0.02068345323741007,0.31,5000,20260524
gb_vs_lr,10,0.0,-0.008093525179856115,0.008992805755395683,0.5294,5000,20260524
gb_vs_lr,20,0.0,0.0,0.0,1.0,5000,20260524
