comparison,top_k,left_variant,right_variant,left_sufficient_count,right_sufficient_count,left_sufficient_rate,right_sufficient_rate,delta_left_minus_right,left_only_count,right_only_count,both_sufficient_count,both_insufficient_count,net_left_gain_count
rf_vs_original,5,rf_all,original_rank,753,522,0.677158273381295,0.4694244604316547,0.20773381294964027,248,17,505,342,231
rf_vs_original,10,rf_all,original_rank,826,739,0.7428057553956835,0.664568345323741,0.07823741007194251,100,13,726,273,87
rf_vs_original,20,rf_all,original_rank,858,858,0.7715827338129496,0.7715827338129496,0.0,0,0,858,254,0
gb_vs_original,5,gb_all,original_rank,718,522,0.64568345323741,0.4694244604316547,0.17625899280575535,216,20,502,374,196
gb_vs_original,10,gb_all,original_rank,822,739,0.7392086330935251,0.664568345323741,0.07464028776978415,98,15,724,275,83
gb_vs_original,20,gb_all,original_rank,858,858,0.7715827338129496,0.7715827338129496,0.0,0,0,858,254,0
lr_vs_original,5,lr_all,original_rank,713,522,0.6411870503597122,0.4694244604316547,0.17176258992805754,220,29,493,370,191
lr_vs_original,10,lr_all,original_rank,822,739,0.7392086330935251,0.664568345323741,0.07464028776978415,92,9,730,281,83
lr_vs_original,20,lr_all,original_rank,858,858,0.7715827338129496,0.7715827338129496,0.0,0,0,858,254,0
rf_vs_gb,5,rf_all,gb_all,753,718,0.677158273381295,0.64568345323741,0.03147482014388492,57,22,696,337,35
rf_vs_gb,10,rf_all,gb_all,826,822,0.7428057553956835,0.7392086330935251,0.003597122302158362,19,15,807,271,4
rf_vs_gb,20,rf_all,gb_all,858,858,0.7715827338129496,0.7715827338129496,0.0,0,0,858,254,0
rf_vs_lr,5,rf_all,lr_all,753,713,0.677158273381295,0.6411870503597122,0.03597122302158273,59,19,694,340,40
rf_vs_lr,10,rf_all,lr_all,826,822,0.7428057553956835,0.7392086330935251,0.003597122302158362,19,15,807,271,4
rf_vs_lr,20,rf_all,lr_all,858,858,0.7715827338129496,0.7715827338129496,0.0,0,0,858,254,0
gb_vs_lr,5,gb_all,lr_all,718,713,0.64568345323741,0.6411870503597122,0.004496402877697814,42,37,676,357,5
gb_vs_lr,10,gb_all,lr_all,822,822,0.7392086330935251,0.7392086330935251,0.0,12,12,810,278,0
gb_vs_lr,20,gb_all,lr_all,858,858,0.7715827338129496,0.7715827338129496,0.0,0,0,858,254,0
