reranker_label,reranker_variant_id,policy,method_name,target_k,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_false_answer_count,test_over_abstain_count,test_retrieval_rate,delta_iar_vs_always_top5,delta_false_answers_vs_always_top5,delta_coverage_vs_always_top5
gb_all,gradient_boosting/all/blend1.00,balanced,top5/logistic_regression/v3_all/platt,5,0.7733812949640287,0.7755813953488372,0.48984771573604063,0.07103064066852367,193,51,0.0,-0.5101522842639594,-201,-0.22661870503597126
gb_all,gradient_boosting/all/blend1.00,retrieve_more_balanced,top20/logistic_regression/v3_all/platt,20,0.8255395683453237,0.8812636165577342,0.42412451361867703,0.05380116959064327,109,46,0.9244604316546763,-0.5758754863813229,-285,-0.17446043165467628
gb_all,gradient_boosting/all/blend1.00,retrieve_more_risk_control@suff_abstain15,top10/logistic_regression/v3_all/isotonic,10,0.689748201438849,0.9035202086049544,0.2534246575342466,0.1548780487804878,74,127,0.9316546762589928,-0.7465753424657534,-320,-0.31025179856115104
gb_all,gradient_boosting/all/blend1.00,retrieve_more@cov85,top20/logistic_regression/v3_no_query/platt,20,0.8812949640287769,0.8520408163265306,0.5642023346303502,0.023391812865497075,145,20,0.9433453237410072,-0.4357976653696498,-249,-0.11870503597122306
lr_all,logistic_regression_balanced/all/blend1.00,balanced,top5/logistic_regression/v3_all/identity,5,0.7311151079136691,0.7884378843788438,0.43107769423558895,0.10098176718092566,172,72,0.0,-0.568922305764411,-227,-0.26888489208633093
lr_all,logistic_regression_balanced/all/blend1.00,retrieve_more_balanced,top20/logistic_regression/v3_all/platt,20,0.8255395683453237,0.8769063180827886,0.4448818897637795,0.06177156177156177,113,53,1.0,-0.5551181102362205,-286,-0.17446043165467628
lr_all,logistic_regression_balanced/all/blend1.00,retrieve_more_risk_control@suff_abstain15,top20/logistic_regression/v3_all/identity,20,0.7149280575539568,0.9144654088050315,0.2677165354330709,0.15268065268065267,68,131,1.0,-0.7322834645669292,-331,-0.28507194244604317
lr_all,logistic_regression_balanced/all/blend1.00,retrieve_more@cov85,top20/logistic_regression/v3_all/identity,20,0.8426258992805755,0.8708644610458911,0.4763779527559055,0.04895104895104895,121,42,1.0,-0.5236220472440944,-278,-0.15737410071942448
rf_all,random_forest_balanced/all/blend1.00,balanced,top5/logistic_regression/v3_all/platt,5,0.7077338129496403,0.8310038119440915,0.37047353760445684,0.13147410358565736,133,99,0.0,-0.6295264623955432,-226,-0.29226618705035967
rf_all,random_forest_balanced/all/blend1.00,retrieve_more_balanced,top20/logistic_regression/v3_all/platt,20,0.7850719424460432,0.8934707903780069,0.3661417322834646,0.09090909090909091,93,78,1.0,-0.6338582677165354,-266,-0.21492805755395683
rf_all,random_forest_balanced/all/blend1.00,retrieve_more_risk_control@suff_abstain15,top20/logistic_regression/v3_all/isotonic,20,0.6834532374100719,0.9276315789473685,0.21653543307086615,0.17832167832167833,55,153,0.9847122302158273,-0.7834645669291338,-304,-0.3165467625899281
rf_all,random_forest_balanced/all/blend1.00,retrieve_more@cov85,top20/logistic_regression/v3_no_query/identity,20,0.8579136690647482,0.8626834381551363,0.515748031496063,0.04079254079254079,131,35,1.0,-0.48425196850393704,-228,-0.1420863309352518
