reranker_label,reranker_variant_id,method_name,action_type,feature_set,calibration,policy,target_k,tau_answer_top5,tau_answer_after_more,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count,test_retrieval_rate,test_mean_added_docs
rf_all,random_forest_balanced/all/blend1.00,always_answer_top5,always_answer,none,none,always_answer,5,,,0.677158273381295,1.0,0.677158273381295,1.0,0.0,0.0,1.0,359,0,0,1112,0.0,0.0
rf_all,random_forest_balanced/all/blend1.00,always_answer_top10,always_answer,none,none,always_answer,10,,,0.7428057553956835,1.0,0.7428057553956835,1.0,0.0,0.0,1.0,286,0,0,1112,1.0,5.0
rf_all,random_forest_balanced/all/blend1.00,always_answer_top20,always_answer,none,none,always_answer,20,,,0.7715827338129496,1.0,0.7715827338129496,1.0,0.0,0.0,1.0,254,0,0,1112,1.0,15.0
rf_all,random_forest_balanced/all/blend1.00,top5/logistic_regression/v3_all/platt,answer_abstain_top5,v3_all,platt,balanced,5,0.4,,0.7913669064748201,0.7077338129496403,0.8310038119440915,0.37047353760445684,0.13147410358565736,0.6295264623955432,0.8685258964143426,133,99,226,787,0.0,0.0
rf_all,random_forest_balanced/all/blend1.00,top20/logistic_regression/v3_all/platt,answer_retrieve_more_abstain,v3_all,platt,retrieve_more_balanced,20,0.0,0.4,0.8462230215827338,0.7850719424460432,0.8934707903780069,0.3661417322834646,0.09090909090909091,0.6338582677165354,0.9090909090909091,93,78,161,873,1.0,15.0
rf_all,random_forest_balanced/all/blend1.00,top20/logistic_regression/v3_all/isotonic,answer_retrieve_more_abstain,v3_all,isotonic,retrieve_more_risk_control@suff_abstain15,20,0.0,0.35,0.8129496402877698,0.6834532374100719,0.9276315789473685,0.21653543307086615,0.17832167832167833,0.7834645669291339,0.8216783216783217,55,153,199,760,0.9847122302158273,14.77068345323741
rf_all,random_forest_balanced/all/blend1.00,top20/logistic_regression/v3_no_query/identity,answer_retrieve_more_abstain,v3_no_query,identity,retrieve_more@cov85,20,0.0,0.65,0.8507194244604317,0.8579136690647482,0.8626834381551363,0.515748031496063,0.04079254079254079,0.484251968503937,0.9592074592074592,131,35,123,954,1.0,15.0
gb_all,gradient_boosting/all/blend1.00,always_answer_top5,always_answer,none,none,always_answer,5,,,0.64568345323741,1.0,0.64568345323741,1.0,0.0,0.0,1.0,394,0,0,1112,0.0,0.0
gb_all,gradient_boosting/all/blend1.00,always_answer_top10,always_answer,none,none,always_answer,10,,,0.7392086330935251,1.0,0.7392086330935251,1.0,0.0,0.0,1.0,290,0,0,1112,1.0,5.0
gb_all,gradient_boosting/all/blend1.00,always_answer_top20,always_answer,none,none,always_answer,20,,,0.7715827338129496,1.0,0.7715827338129496,1.0,0.0,0.0,1.0,254,0,0,1112,1.0,15.0
gb_all,gradient_boosting/all/blend1.00,top5/logistic_regression/v3_all/platt,answer_abstain_top5,v3_all,platt,balanced,5,0.65,,0.7805755395683454,0.7733812949640287,0.7755813953488372,0.48984771573604063,0.07103064066852367,0.5101522842639594,0.9289693593314763,193,51,201,860,0.0,0.0
gb_all,gradient_boosting/all/blend1.00,top20/logistic_regression/v3_all/platt,answer_retrieve_more_abstain,v3_all,platt,retrieve_more_balanced,20,0.1,0.5,0.8606115107913669,0.8255395683453237,0.8812636165577342,0.42412451361867703,0.05380116959064327,0.5758754863813229,0.9461988304093567,109,46,148,918,0.9244604316546763,13.866906474820144
gb_all,gradient_boosting/all/blend1.00,top10/logistic_regression/v3_all/isotonic,answer_retrieve_more_abstain,v3_all,isotonic,retrieve_more_risk_control@suff_abstain15,10,0.05,0.35,0.8192446043165468,0.689748201438849,0.9035202086049544,0.2534246575342466,0.1548780487804878,0.7465753424657534,0.8451219512195122,74,127,218,767,0.9316546762589928,4.658273381294964
gb_all,gradient_boosting/all/blend1.00,top20/logistic_regression/v3_no_query/platt,answer_retrieve_more_abstain,v3_no_query,platt,retrieve_more@cov85,20,0.1,0.65,0.8516187050359713,0.8812949640287769,0.8520408163265306,0.5642023346303502,0.023391812865497075,0.4357976653696498,0.9766081871345029,145,20,112,980,0.9433453237410072,14.150179856115109
lr_all,logistic_regression_balanced/all/blend1.00,always_answer_top5,always_answer,none,none,always_answer,5,,,0.6411870503597122,1.0,0.6411870503597122,1.0,0.0,0.0,1.0,399,0,0,1112,0.0,0.0
lr_all,logistic_regression_balanced/all/blend1.00,always_answer_top10,always_answer,none,none,always_answer,10,,,0.7392086330935251,1.0,0.7392086330935251,1.0,0.0,0.0,1.0,290,0,0,1112,1.0,5.0
lr_all,logistic_regression_balanced/all/blend1.00,always_answer_top20,always_answer,none,none,always_answer,20,,,0.7715827338129496,1.0,0.7715827338129496,1.0,0.0,0.0,1.0,254,0,0,1112,1.0,15.0
lr_all,logistic_regression_balanced/all/blend1.00,top5/logistic_regression/v3_all/identity,answer_abstain_top5,v3_all,identity,balanced,5,0.55,,0.7805755395683454,0.7311151079136691,0.7884378843788438,0.43107769423558895,0.10098176718092566,0.568922305764411,0.8990182328190743,172,72,227,813,0.0,0.0
lr_all,logistic_regression_balanced/all/blend1.00,top20/logistic_regression/v3_all/platt,answer_retrieve_more_abstain,v3_all,platt,retrieve_more_balanced,20,0.0,0.45,0.8507194244604317,0.8255395683453237,0.8769063180827886,0.4448818897637795,0.06177156177156177,0.5551181102362205,0.9382284382284383,113,53,141,918,1.0,15.0
