reranker_label,reranker_variant_id,split,top_k,n,sufficient_count,insufficient_count,sufficient_rate,mean_support_title_coverage,answer_present_in_returned_docs_rate
rf_all,random_forest_balanced/all/blend1.00,train,5,5183,3962,1221,0.7644221493343624,0.852595022187922,0.8473856839668146
rf_all,random_forest_balanced/all/blend1.00,valid,5,1110,714,396,0.6432432432432432,0.7738738738738739,0.7666666666666667
rf_all,random_forest_balanced/all/blend1.00,test,5,1112,753,359,0.677158273381295,0.7927158273381295,0.7733812949640287
rf_all,random_forest_balanced/all/blend1.00,train,10,5183,3962,1221,0.7644221493343624,0.852595022187922,0.8473856839668146
rf_all,random_forest_balanced/all/blend1.00,valid,10,1110,801,309,0.7216216216216216,0.8193693693693693,0.7666666666666667
rf_all,random_forest_balanced/all/blend1.00,test,10,1112,826,286,0.7428057553956835,0.8336330935251799,0.7733812949640287
rf_all,random_forest_balanced/all/blend1.00,train,20,5183,3962,1221,0.7644221493343624,0.852595022187922,0.8473856839668146
rf_all,random_forest_balanced/all/blend1.00,valid,20,1110,826,284,0.7441441441441441,0.8346846846846847,0.7666666666666667
rf_all,random_forest_balanced/all/blend1.00,test,20,1112,858,254,0.7715827338129496,0.8525179856115108,0.7733812949640287
gb_all,gradient_boosting/all/blend1.00,train,5,5183,3364,1819,0.6490449546594637,0.78140073316612,0.7775419641134478
gb_all,gradient_boosting/all/blend1.00,valid,5,1110,696,414,0.6270270270270271,0.7671171171171172,0.7621621621621621
gb_all,gradient_boosting/all/blend1.00,test,5,1112,718,394,0.64568345323741,0.7765287769784173,0.7562949640287769
gb_all,gradient_boosting/all/blend1.00,train,10,5183,3826,1357,0.7381825197761914,0.8340729307350955,0.7775419641134478
gb_all,gradient_boosting/all/blend1.00,valid,10,1110,791,319,0.7126126126126127,0.8162162162162162,0.7621621621621621
gb_all,gradient_boosting/all/blend1.00,test,10,1112,822,290,0.7392086330935251,0.8300359712230215,0.7562949640287769
gb_all,gradient_boosting/all/blend1.00,train,20,5183,3962,1221,0.7644221493343624,0.852595022187922,0.7775419641134478
gb_all,gradient_boosting/all/blend1.00,valid,20,1110,826,284,0.7441441441441441,0.8346846846846847,0.7621621621621621
gb_all,gradient_boosting/all/blend1.00,test,20,1112,858,254,0.7715827338129496,0.8525179856115108,0.7562949640287769
lr_all,logistic_regression_balanced/all/blend1.00,train,5,5183,3342,1841,0.6448003087015242,0.7766737410765966,0.7802431024503184
lr_all,logistic_regression_balanced/all/blend1.00,valid,5,1110,689,421,0.6207207207207207,0.763063063063063,0.7594594594594595
lr_all,logistic_regression_balanced/all/blend1.00,test,5,1112,713,399,0.6411870503597122,0.772931654676259,0.7553956834532374
lr_all,logistic_regression_balanced/all/blend1.00,train,10,5183,3823,1360,0.7376037044182906,0.8326258923403435,0.7802431024503184
lr_all,logistic_regression_balanced/all/blend1.00,valid,10,1110,791,319,0.7126126126126127,0.8166666666666667,0.7594594594594595
lr_all,logistic_regression_balanced/all/blend1.00,test,10,1112,822,290,0.7392086330935251,0.8309352517985612,0.7553956834532374
lr_all,logistic_regression_balanced/all/blend1.00,train,20,5183,3962,1221,0.7644221493343624,0.852595022187922,0.7802431024503184
lr_all,logistic_regression_balanced/all/blend1.00,valid,20,1110,826,284,0.7441441441441441,0.8346846846846847,0.7594594594594595
lr_all,logistic_regression_balanced/all/blend1.00,test,20,1112,858,254,0.7715827338129496,0.8525179856115108,0.7553956834532374
