group,value,n,share
all,all,68,1.0
top_k,20,40,0.5882352941176471
top_k,5,28,0.4117647058823529
sufficiency_label,insufficient,12,0.17647058823529413
sufficiency_label,sufficient,56,0.8235294117647058
taxonomy,ambiguous_or_gold_issue,4,0.058823529411764705
taxonomy,answer_alias_or_metric_mismatch,50,0.7352941176470589
taxonomy,generation_failure,8,0.11764705882352941
taxonomy,retrieval_insufficient,5,0.07352941176470588
taxonomy,uncertain,1,0.014705882352941176
taxonomy_given_insufficient,ambiguous_or_gold_issue,1,0.08333333333333333
taxonomy_given_insufficient,answer_alias_or_metric_mismatch,5,0.4166666666666667
taxonomy_given_insufficient,generation_failure,1,0.08333333333333333
taxonomy_given_insufficient,retrieval_insufficient,5,0.4166666666666667
taxonomy_given_sufficient,ambiguous_or_gold_issue,3,0.05357142857142857
taxonomy_given_sufficient,answer_alias_or_metric_mismatch,45,0.8035714285714286
taxonomy_given_sufficient,generation_failure,7,0.125
taxonomy_given_sufficient,uncertain,1,0.017857142857142856
