group,value,n,share
all,all,52,1.0
top_k,20,32,0.6153846153846154
top_k,5,20,0.38461538461538464
sufficiency_label,insufficient,13,0.25
sufficiency_label,sufficient,39,0.75
taxonomy,ambiguous_or_gold_issue,6,0.11538461538461539
taxonomy,answer_alias_or_metric_mismatch,33,0.6346153846153846
taxonomy,generation_failure,8,0.15384615384615385
taxonomy,retrieval_insufficient,5,0.09615384615384616
taxonomy_given_insufficient,ambiguous_or_gold_issue,3,0.23076923076923078
taxonomy_given_insufficient,answer_alias_or_metric_mismatch,5,0.38461538461538464
taxonomy_given_insufficient,generation_failure,1,0.07692307692307693
taxonomy_given_insufficient,retrieval_insufficient,4,0.3076923076923077
taxonomy_given_sufficient,ambiguous_or_gold_issue,3,0.07692307692307693
taxonomy_given_sufficient,answer_alias_or_metric_mismatch,28,0.717948717948718
taxonomy_given_sufficient,generation_failure,7,0.1794871794871795
taxonomy_given_sufficient,retrieval_insufficient,1,0.02564102564102564
