method_name,policy,split,metric,point,ci_low,ci_high,bootstrap_iters
top1_embedding_threshold,balanced,retrieval_test,coverage,0.9001798561151079,0.8830935251798561,0.9181654676258992,1000
top1_embedding_threshold,balanced,retrieval_test,selective_accuracy,0.7282717282717283,0.7033986045576754,0.7558300911854103,1000
top1_embedding_threshold,balanced,retrieval_test,insufficient_answer_rate,0.7576601671309192,0.7093926553672316,0.8005915950195106,1000
top1_embedding_threshold,balanced,retrieval_test,sufficient_abstain_rate,0.03187250996015936,0.019815059445178335,0.04456094364351245,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,coverage,0.6906474820143885,0.6636465827338129,0.7185251798561151,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,selective_accuracy,0.8072916666666666,0.779893420234613,0.834468584066069,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.41225626740947074,0.36201561642309926,0.46153846153846156,1000
logistic_regression/retrieval_quality_only/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.17662682602921648,0.149998370273794,0.20286228109812254,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,coverage,0.7131294964028777,0.6870503597122302,0.7392086330935251,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,selective_accuracy,0.819672131147541,0.792823097618494,0.846748532740036,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.3983286908077994,0.3548925449247208,0.4500426136363636,1000
logistic_regression/v2_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.13678618857901725,0.11312438362381197,0.162680310880829,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,coverage,0.783273381294964,0.7589928057553957,0.8057553956834532,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,selective_accuracy,0.7933409873708381,0.7670170727846175,0.8199733194668433,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,insufficient_answer_rate,0.5013927576601671,0.45013888888888887,0.5482160435887456,1000
logistic_regression/v3_all/isotonic,balanced,retrieval_test,sufficient_abstain_rate,0.08233731739707835,0.06288669353841587,0.10286458333333333,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,coverage,0.7814748201438849,0.7562949640287769,0.8084532374100719,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,selective_accuracy,0.7940161104718066,0.7667652915357588,0.8216351686288396,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,insufficient_answer_rate,0.4986072423398329,0.4481769757083161,0.5501547900484071,1000
logistic_regression/v3_all/isotonic,risk_control@suff_abstain15,retrieval_test,sufficient_abstain_rate,0.08366533864541832,0.06388388027407141,0.10519838413646669,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,coverage,0.9118705035971223,0.8947841726618705,0.9280575539568345,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,selective_accuracy,0.7317554240631163,0.7051091269841271,0.758517107242723,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,insufficient_answer_rate,0.7576601671309192,0.7117548447950609,0.8,1000
gradient_boosting/v3_all/isotonic,reliable@cov85,retrieval_test,sufficient_abstain_rate,0.014608233731739707,0.007614924400142999,0.023978798247216316,1000
