method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.45,40,0.8185974763897058,0.7218562509313332,0.8136553137496438,0.6768994964645778,0.8036036036036036,0.7207207207207207,0.81,0.3838383838383838,0.09243697478991597,0.6161616161616161,0.907563025210084,76,33,122,400,0.7787769784172662,0.7131294964028777,0.819672131147541,0.3983286908077994,0.13678618857901725,0.6016713091922006,0.8632138114209827,143,103,216,793
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,risk_control@suff_abstain15,0.45,40,0.8185974763897058,0.7218562509313332,0.8136553137496438,0.6768994964645778,0.8036036036036036,0.7207207207207207,0.81,0.3838383838383838,0.09243697478991597,0.6161616161616161,0.907563025210084,76,33,122,400,0.7787769784172662,0.7131294964028777,0.819672131147541,0.3983286908077994,0.13678618857901725,0.6016713091922006,0.8632138114209827,143,103,216,793
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,balanced,0.55,68,0.8496524579490765,0.7495395554827448,0.8434729050372327,0.7051034793796145,0.7927927927927928,0.7963963963963964,0.7737556561085973,0.5050505050505051,0.04201680672268908,0.494949494949495,0.957983193277311,100,15,98,442,0.7823741007194245,0.783273381294964,0.7933409873708381,0.5013927576601671,0.08233731739707835,0.4986072423398329,0.9176626826029216,180,62,179,871
logistic_regression/v3_all/isotonic,model,logistic_regression,v3_all,isotonic,risk_control@suff_abstain15,0.5,68,0.8496524579490765,0.7495395554827448,0.8434729050372327,0.7051034793796145,0.7927927927927928,0.7927927927927928,0.775,0.5,0.04481792717086835,0.5,0.9551820728291317,99,16,99,440,0.7823741007194245,0.7814748201438849,0.7940161104718066,0.4986072423398329,0.08366533864541832,0.5013927576601671,0.9163346613545816,179,63,180,869
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,balanced,0.4,56,0.8379148216789296,0.7416572085386567,0.8342303950400811,0.7016464311124667,0.7981981981981981,0.6252252252252253,0.8530259365994236,0.25757575757575757,0.17086834733893558,0.7424242424242424,0.8291316526610645,51,61,147,347,0.7724820143884892,0.6330935251798561,0.8551136363636364,0.2841225626740947,0.20053120849933598,0.7158774373259053,0.799468791500664,102,151,257,704
logistic_regression/v3_no_query/isotonic,model,logistic_regression,v3_no_query,isotonic,risk_control@suff_abstain15,0.45,56,0.8379148216789296,0.7416572085386567,0.8342303950400811,0.7016464311124667,0.7963963963963964,0.7063063063063063,0.8112244897959183,0.37373737373737376,0.1092436974789916,0.6262626262626263,0.8907563025210085,74,39,124,392,0.7877697841726619,0.6861510791366906,0.8387942332896461,0.3426183844011142,0.150066401062417,0.6573816155988857,0.849933598937583,123,113,236,763
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,balanced,0.55,22,0.7734632500638117,0.6379668256270963,0.7665808446807015,0.5939911421469435,0.7405405405405405,0.8378378378378378,0.7290322580645161,0.6363636363636364,0.05042016806722689,0.36363636363636365,0.9495798319327731,126,18,72,465,0.7428057553956835,0.835431654676259,0.751345532831001,0.6434540389972145,0.07304116865869854,0.3565459610027855,0.9269588313413014,231,55,128,929
logistic_regression/v3_evidence_only/isotonic,model,logistic_regression,v3_evidence_only,isotonic,risk_control@suff_abstain15,0.55,22,0.7734632500638117,0.6379668256270963,0.7665808446807015,0.5939911421469435,0.7405405405405405,0.8378378378378378,0.7290322580645161,0.6363636363636364,0.05042016806722689,0.36363636363636365,0.9495798319327731,126,18,72,465,0.7428057553956835,0.835431654676259,0.751345532831001,0.6434540389972145,0.07304116865869854,0.3565459610027855,0.9269588313413014,231,55,128,929
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,balanced,0.6,30,0.7837174976972333,0.6466808505877217,0.7797056897757162,0.6127805059687584,0.7513513513513513,0.7081081081081081,0.7786259541984732,0.4393939393939394,0.14285714285714285,0.5606060606060606,0.8571428571428571,87,51,111,393,0.7473021582733813,0.6906474820143885,0.8072916666666666,0.41225626740947074,0.17662682602921648,0.5877437325905293,0.8233731739707836,148,133,211,768
logistic_regression/retrieval_quality_only/isotonic,model,logistic_regression,retrieval_quality_only,isotonic,risk_control@suff_abstain15,0.6,30,0.7837174976972333,0.6466808505877217,0.7797056897757162,0.6127805059687584,0.7513513513513513,0.7081081081081081,0.7786259541984732,0.4393939393939394,0.14285714285714285,0.5606060606060606,0.8571428571428571,87,51,111,393,0.7473021582733813,0.6906474820143885,0.8072916666666666,0.41225626740947074,0.17662682602921648,0.5877437325905293,0.8233731739707836,148,133,211,768
