method_name,method_type,estimator,feature_set,calibration,policy,tau_answer,n_features,raw_test_auroc,raw_test_auprc,test_auroc,test_auprc,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,balanced,0.35,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.8036036036036036,0.7207207207207207,0.81,0.3838383838383838,0.09243697478991597,0.6161616161616161,0.907563025210084,76,33,122,400,0.7805755395683454,0.7095323741007195,0.8225602027883396,0.38997214484679665,0.13811420982735723,0.6100278551532033,0.8618857901726428,140,104,219,789
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,reliable@cov85,0.6,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.7549549549549549,0.8702702702702703,0.7287784679089027,0.6616161616161617,0.014005602240896359,0.3383838383838384,0.9859943977591037,131,5,67,483,0.7607913669064749,0.8696043165467626,0.7518097207859359,0.6685236768802229,0.034528552456839307,0.33147632311977715,0.9654714475431607,240,26,119,967
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,risk_control@suff_abstain15,0.3,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.790990990990991,0.6828828828828829,0.8179419525065963,0.3484848484848485,0.13165266106442577,0.6515151515151515,0.8683473389355743,69,47,129,379,0.7751798561151079,0.664568345323741,0.8403247631935047,0.3286908077994429,0.1752988047808765,0.6713091922005571,0.8247011952191236,118,132,241,739
logistic_regression/v2_all/identity,model,logistic_regression,v2_all,identity,high_precision@cov50,0.15,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.7351351351351352,0.5261261261261261,0.8595890410958904,0.20707070707070707,0.2969187675070028,0.7929292929292929,0.7030812324929971,41,106,157,292,0.704136690647482,0.5089928057553957,0.8745583038869258,0.1977715877437326,0.3426294820717131,0.8022284122562674,0.6573705179282868,71,258,288,566
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,balanced,0.45,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.7981981981981981,0.7297297297297297,0.8024691358024691,0.40404040404040403,0.0896358543417367,0.5959595959595959,0.9103641456582633,80,32,118,405,0.7805755395683454,0.7239208633093526,0.8161490683229814,0.41225626740947074,0.12749003984063745,0.5877437325905293,0.8725099601593626,148,96,211,805
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,reliable@cov85,0.7,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.7513513513513513,0.8774774774774775,0.7248459958932238,0.6767676767676768,0.011204481792717087,0.32323232323232326,0.988795518207283,134,4,64,487,0.7598920863309353,0.8758992805755396,0.7494866529774127,0.6796657381615598,0.03054448871181939,0.3203342618384401,0.9694555112881806,244,23,115,974
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,risk_control@suff_abstain15,0.4,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.7945945945945946,0.6936936936936937,0.8155844155844156,0.35858585858585856,0.12044817927170869,0.6414141414141414,0.8795518207282913,71,43,127,385,0.7760791366906474,0.6798561151079137,0.8333333333333334,0.35097493036211697,0.16334661354581673,0.649025069637883,0.8366533864541833,126,123,233,756
logistic_regression/v2_all/platt,model,logistic_regression,v2_all,platt,high_precision@cov50,0.25,40,0.8185974763897058,0.7218562509313332,0.8185974763897058,0.7218562509313332,0.7297297297297297,0.5171171171171172,0.8606271777003485,0.20202020202020202,0.3081232492997199,0.797979797979798,0.6918767507002801,40,110,158,287,0.7005395683453237,0.5053956834532374,0.8736654804270463,0.1977715877437326,0.34794156706507307,0.8022284122562674,0.6520584329349269,71,262,288,562
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,balanced,0.45,40,0.8185974763897058,0.7218562509313332,0.8136553137496438,0.6768994964645778,0.8036036036036036,0.7207207207207207,0.81,0.3838383838383838,0.09243697478991597,0.6161616161616161,0.907563025210084,76,33,122,400,0.7787769784172662,0.7131294964028777,0.819672131147541,0.3983286908077994,0.13678618857901725,0.6016713091922006,0.8632138114209827,143,103,216,793
logistic_regression/v2_all/isotonic,model,logistic_regression,v2_all,isotonic,reliable@cov85,0.75,40,0.8185974763897058,0.7218562509313332,0.8136553137496438,0.6768994964645778,0.7081081081081081,0.9351351351351351,0.6878612716763006,0.8181818181818182,0.0,0.18181818181818182,1.0,162,0,36,519,0.737410071942446,0.9235611510791367,0.7244401168451802,0.7883008356545961,0.01195219123505976,0.2116991643454039,0.9880478087649402,283,9,76,1027
