selection_key,method_name,action_type,feature_set,calibration,policy,target_k,tau_answer_top5,tau_answer_after_more,n_features,valid_decision_accuracy,valid_coverage,valid_selective_accuracy,valid_insufficient_answer_rate,valid_sufficient_abstain_rate,valid_abstained_insufficient_rate,valid_answered_sufficient_rate,valid_false_answer_count,valid_over_abstain_count,valid_abstained_insufficient_count,valid_answered_count,valid_retrieval_rate,valid_mean_added_docs,test_decision_accuracy,test_coverage,test_selective_accuracy,test_insufficient_answer_rate,test_sufficient_abstain_rate,test_abstained_insufficient_rate,test_answered_sufficient_rate,test_false_answer_count,test_over_abstain_count,test_abstained_insufficient_count,test_answered_count,test_retrieval_rate,test_mean_added_docs
always_answer_top5,always_answer_top5,always_answer,none,none,always_answer,5,,,0,0.6432432432432432,1.0,0.6432432432432432,1.0,0.0,0.0,1.0,198,0,0,555,0.0,0.0,0.677158273381295,1.0,0.677158273381295,1.0,0.0,0.0,1.0,359,0,0,1112,0.0,0.0
always_answer_top10,always_answer_top10,always_answer,none,none,always_answer,10,,,0,0.7333333333333333,1.0,0.7333333333333333,1.0,0.0,0.0,1.0,148,0,0,555,1.0,5.0,0.7428057553956835,1.0,0.7428057553956835,1.0,0.0,0.0,1.0,286,0,0,1112,1.0,5.0
always_answer_top20,always_answer_top20,always_answer,none,none,always_answer,20,,,0,0.7549549549549549,1.0,0.7549549549549549,1.0,0.0,0.0,1.0,136,0,0,555,1.0,15.0,0.7715827338129496,1.0,0.7715827338129496,1.0,0.0,0.0,1.0,254,0,0,1112,1.0,15.0
top5/logistic_regression/v3_no_query/identity::balanced,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,balanced,5,0.25,,56,0.8018018018018018,0.6468468468468469,0.8440111420612814,0.2828282828282828,0.15126050420168066,0.7171717171717171,0.8487394957983193,56,54,142,359,0.0,0.0,0.7778776978417267,0.6474820143884892,0.8513888888888889,0.298050139275766,0.18592297476759628,0.7019498607242339,0.8140770252324038,107,140,252,720,0.0,0.0
top5/logistic_regression/v3_no_query/identity::reliable@cov85,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,reliable@cov85,5,0.65,,56,0.7675675675675676,0.8504504504504504,0.7415254237288136,0.6161616161616161,0.0196078431372549,0.3838383838383838,0.9803921568627451,122,7,76,472,0.0,0.0,0.7796762589928058,0.85431654676259,0.7673684210526316,0.6155988857938719,0.03187250996015936,0.38440111420612816,0.9681274900398407,221,24,138,950,0.0,0.0
top5/logistic_regression/v3_no_query/identity::risk_control@suff_abstain15,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,risk_control@suff_abstain15,5,0.3,,56,0.7981981981981981,0.69009009009009,0.8198433420365535,0.3484848484848485,0.12044817927170869,0.6515151515151515,0.8795518207282913,69,43,129,383,0.0,0.0,0.7850719424460432,0.6798561151079137,0.83994708994709,0.3370473537604457,0.15670650730411687,0.6629526462395543,0.8432934926958832,121,118,238,756,0.0,0.0
top5/logistic_regression/v3_no_query/identity::high_precision@cov50,top5/logistic_regression/v3_no_query/identity,answer_abstain_top5,v3_no_query,identity,high_precision@cov50,5,0.15,,56,0.7711711711711712,0.5513513513513514,0.8758169934640523,0.1919191919191919,0.24929971988795518,0.8080808080808081,0.7507002801120448,38,89,160,306,0.0,0.0,0.7419064748201439,0.5485611510791367,0.8819672131147541,0.20055710306406685,0.2855245683930943,0.7994428969359332,0.7144754316069057,72,215,287,610,0.0,0.0
top5/logistic_regression/v3_no_query/platt::balanced,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,balanced,5,0.35,,56,0.7963963963963964,0.6702702702702703,0.8279569892473119,0.32323232323232326,0.13725490196078433,0.6767676767676768,0.8627450980392157,64,49,134,372,0.0,0.0,0.7796762589928058,0.6636690647482014,0.8441734417344173,0.3203342618384401,0.17264276228419656,0.6796657381615598,0.8273572377158035,115,130,244,738,0.0,0.0
top5/logistic_regression/v3_no_query/platt::reliable@cov85,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,reliable@cov85,5,0.75,,56,0.7495495495495496,0.8756756756756757,0.7242798353909465,0.6767676767676768,0.014005602240896359,0.32323232323232326,0.9859943977591037,134,5,64,486,0.0,0.0,0.7733812949640287,0.8642086330935251,0.7606659729448492,0.6406685236768802,0.029216467463479414,0.3593314763231198,0.9707835325365206,230,22,129,961,0.0,0.0
top5/logistic_regression/v3_no_query/platt::risk_control@suff_abstain15,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,risk_control@suff_abstain15,5,0.35,,56,0.7963963963963964,0.6702702702702703,0.8279569892473119,0.32323232323232326,0.13725490196078433,0.6767676767676768,0.8627450980392157,64,49,134,372,0.0,0.0,0.7796762589928058,0.6636690647482014,0.8441734417344173,0.3203342618384401,0.17264276228419656,0.6796657381615598,0.8273572377158035,115,130,244,738,0.0,0.0
top5/logistic_regression/v3_no_query/platt::high_precision@cov50,top5/logistic_regression/v3_no_query/platt,answer_abstain_top5,v3_no_query,platt,high_precision@cov50,5,0.25,,56,0.7765765765765765,0.563963963963964,0.8722044728434505,0.20202020202020202,0.23529411764705882,0.797979797979798,0.7647058823529411,40,84,158,313,0.0,0.0,0.7473021582733813,0.5629496402877698,0.8769968051118211,0.21448467966573817,0.27091633466135456,0.7855153203342619,0.7290836653386454,77,204,282,626,0.0,0.0
top5/logistic_regression/v3_no_query/isotonic::balanced,top5/logistic_regression/v3_no_query/isotonic,answer_abstain_top5,v3_no_query,isotonic,balanced,5,0.4,,56,0.7981981981981981,0.6252252252252253,0.8530259365994236,0.25757575757575757,0.17086834733893558,0.7424242424242424,0.8291316526610645,51,61,147,347,0.0,0.0,0.7724820143884892,0.6330935251798561,0.8551136363636364,0.2841225626740947,0.20053120849933598,0.7158774373259053,0.799468791500664,102,151,257,704,0.0,0.0
top5/logistic_regression/v3_no_query/isotonic::reliable@cov85,top5/logistic_regression/v3_no_query/isotonic,answer_abstain_top5,v3_no_query,isotonic,reliable@cov85,5,0.85,,56,0.7603603603603604,0.8576576576576577,0.7352941176470589,0.6363636363636364,0.0196078431372549,0.36363636363636365,0.9803921568627451,126,7,72,476,0.0,0.0,0.7760791366906474,0.8579136690647482,0.7641509433962265,0.6267409470752089,0.03187250996015936,0.3732590529247911,0.9681274900398407,225,24,134,954,0.0,0.0
top5/logistic_regression/v3_no_query/isotonic::risk_control@suff_abstain15,top5/logistic_regression/v3_no_query/isotonic,answer_abstain_top5,v3_no_query,isotonic,risk_control@suff_abstain15,5,0.45,,56,0.7963963963963964,0.7063063063063063,0.8112244897959183,0.37373737373737376,0.1092436974789916,0.6262626262626263,0.8907563025210085,74,39,124,392,0.0,0.0,0.7877697841726619,0.6861510791366906,0.8387942332896461,0.3426183844011142,0.150066401062417,0.6573816155988857,0.849933598937583,123,113,236,763,0.0,0.0
top5/logistic_regression/v3_no_query/isotonic::high_precision@cov50,top5/logistic_regression/v3_no_query/isotonic,answer_abstain_top5,v3_no_query,isotonic,high_precision@cov50,5,0.3,,56,0.7837837837837838,0.5855855855855856,0.8646153846153846,0.2222222222222222,0.21288515406162464,0.7777777777777778,0.7871148459383753,44,76,154,325,0.0,0.0,0.7607913669064749,0.5962230215827338,0.8672699849170438,0.24512534818941503,0.23638778220451528,0.754874651810585,0.7636122177954847,88,178,271,663,0.0,0.0
top5/logistic_regression/v3_all/identity::balanced,top5/logistic_regression/v3_all/identity,answer_abstain_top5,v3_all,identity,balanced,5,0.35,,68,0.809009009009009,0.7225225225225225,0.8129675810473815,0.3787878787878788,0.08683473389355742,0.6212121212121212,0.9131652661064426,75,31,123,401,0.0,0.0,0.7877697841726619,0.7203237410071942,0.8227215980024969,0.3955431754874652,0.1248339973439575,0.6044568245125348,0.8751660026560425,142,94,217,801,0.0,0.0
top5/logistic_regression/v3_all/identity::reliable@cov85,top5/logistic_regression/v3_all/identity,answer_abstain_top5,v3_all,identity,reliable@cov85,5,0.7,,68,0.7513513513513513,0.8738738738738738,0.7257731958762886,0.6717171717171717,0.014005602240896359,0.3282828282828283,0.9859943977591037,133,5,65,485,0.0,0.0,0.77068345323741,0.8651079136690647,0.7588357588357588,0.6462395543175488,0.03054448871181939,0.35376044568245124,0.9694555112881806,232,23,127,962,0.0,0.0
top5/logistic_regression/v3_all/identity::risk_control@suff_abstain15,top5/logistic_regression/v3_all/identity,answer_abstain_top5,v3_all,identity,risk_control@suff_abstain15,5,0.3,,68,0.8,0.6882882882882883,0.8219895287958116,0.3434343434343434,0.12044817927170869,0.6565656565656566,0.8795518207282913,68,43,130,382,0.0,0.0,0.7976618705035972,0.6888489208633094,0.8446475195822454,0.33147632311977715,0.1407702523240372,0.6685236768802229,0.8592297476759628,119,106,240,766,0.0,0.0
